dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,0,1.6941454393084913e-06,1.0936880575399875e-05,12.014132518695547,5.380360682446584e-05,{},,2,0.5524303000056534
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,1,1.6892652141183255e-06,1.0386748830891672e-05,12.430929718327784,5.437653966921215e-05,{},,2,0.4592683999944711
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,2,1.661287842026327e-06,1.0818782689727041e-05,12.097886125310103,5.218987323186831e-05,{},,2,0.45548240000061924
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,3,1.6261686054121655e-06,9.879290474772887e-06,12.290272060071487,4.588795835895663e-05,{},,2,0.4672553999989759
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,4,1.7864130674689268e-06,1.1007327782235102e-05,12.005086004054489,4.8845985958339363e-05,{},,2,0.4391768999994383
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.1,5,1.7301783033746748e-06,1.0374632535608348e-05,12.077072874134311,4.9763546597257376e-05,{},,2,0.43038199999864446
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,0,1.3976727619583874e-06,6.133237051376321e-06,11.853044655055214,4.3728117687621196e-05,{},,2,0.4092661000031512
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,1,1.3860877409166793e-06,6.084908922162246e-06,11.94293496627426,4.349817592094169e-05,{},,2,0.4078490000028978
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,2,1.3857741529414741e-06,6.074992340203685e-06,11.97654662381465,4.301856938196731e-05,{},,2,0.4251107000018237
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,3,1.3959457001306788e-06,6.08240551718176e-06,12.016586840031493,4.3414760414117505e-05,{},,2,0.41666059999988647
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,4,1.4184191662210967e-06,6.2368375336209715e-06,11.887423070113934,4.34134334578329e-05,{},,2,0.4173007999997935
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.1,5,1.416358851355019e-06,6.2310996807376616e-06,12.049908386118148,4.234221240328912e-05,{},,2,0.4268149999988964
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,0,5.284088150041672e-07,2.3316138463351204e-06,11.777430210355258,1.332935006468984e-05,{},,2,0.425883400006569
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,1,5.24556122587607e-07,2.2872757251099182e-06,11.891911706834899,1.2691456032392978e-05,{},,2,0.4954358000031789
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,2,5.234482211657499e-07,2.2834006940808207e-06,11.782696128772228,1.247197684765154e-05,{},,2,0.4407580000042799
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,3,5.43956022283165e-07,2.3723533995363366e-06,11.60471229437278,1.3126075132099446e-05,{},,2,0.42647170000418555
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,4,5.322719015373588e-07,2.3271254185344894e-06,11.726576513653493,1.1682822119982689e-05,{},,2,0.4165770999970846
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.1,5,5.616348488926047e-07,2.4264285531262506e-06,11.33593938086434,1.2658217309911143e-05,{},,2,0.42145760000130394
