dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k3,trss,0.3,0,3.2594083898718594e-06,1.1865979933892741e-05,13.874864566219443,4.99731026914603e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021122999998624437
bci_iv2a_real_s1,knn__k3,trss,0.3,1,3.271717492025234e-06,1.2255320565430348e-05,13.688708162439866,4.9603776202360686e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02000930000212975
bci_iv2a_real_s1,knn__k3,trss,0.3,2,3.3248026450602165e-06,1.2351574640651993e-05,13.757802402622564,5.061060794344699e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02085609999630833
bci_iv2a_real_s1,knn__k3,trss,0.3,3,3.1803800599030556e-06,1.2170562539021826e-05,13.85080331870836,5.0159138897078665e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020398099994054064
bci_iv2a_real_s1,knn__k3,trss,0.3,4,3.144926959646917e-06,1.1499670958261128e-05,13.981782898613224,4.903797261948445e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020124100003158674
bci_iv2a_real_s1,knn__k3,trss,0.3,5,3.0959402997502277e-06,1.1309508330083538e-05,13.726626198218502,4.947362894155232e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021722100005717948
bci_iv2a_real_s2,knn__k3,trss,0.3,0,1.0927963054250672e-06,2.992838405135152e-06,20.62497344308732,2.2077849593054006e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019934600000851788
bci_iv2a_real_s2,knn__k3,trss,0.3,1,1.061023886901822e-06,3.0517043142712095e-06,20.947614845319844,2.202146834540326e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019983400001365226
bci_iv2a_real_s2,knn__k3,trss,0.3,2,1.0525787526893445e-06,2.9772929070971924e-06,20.770683381695843,2.1173960395021633e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02047630000015488
bci_iv2a_real_s2,knn__k3,trss,0.3,3,1.0349114566646459e-06,2.9038392478872854e-06,20.73973973143477,2.1477633521033116e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020820700003241654
bci_iv2a_real_s2,knn__k3,trss,0.3,4,1.0800260529142193e-06,3.0408180554662473e-06,20.556790161705905,2.2433004514240632e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02112969999870984
bci_iv2a_real_s2,knn__k3,trss,0.3,5,1.0543395887314789e-06,2.9037300958180782e-06,20.686949521397178,2.1770175508791572e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021174499997869134
bci_iv2a_real_s3,knn__k3,trss,0.3,0,9.587553476559552e-07,2.3019238876535273e-06,12.346069936146696,1.7198731802102745e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02085149999766145
bci_iv2a_real_s3,knn__k3,trss,0.3,1,9.57418729591281e-07,2.310392363955689e-06,12.36743789323736,1.7312139979670233e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020593400004145224
bci_iv2a_real_s3,knn__k3,trss,0.3,2,9.442704378867714e-07,2.282322180901334e-06,12.42899499022578,1.6492526649329927e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02096970000275178
bci_iv2a_real_s3,knn__k3,trss,0.3,3,9.354596241470735e-07,2.2434589383051734e-06,12.416384603277544,1.7000934697318564e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01998559999628924
bci_iv2a_real_s3,knn__k3,trss,0.3,4,9.445980612507165e-07,2.2580482445586876e-06,12.38878853493481,1.6839473237667785e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019688199994561728
bci_iv2a_real_s3,knn__k3,trss,0.3,5,9.323790791622039e-07,2.2204274437950477e-06,12.443667120302868,1.7172602717871398e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019977299998572562
