dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k3,tv,0.4,0,5.717569351842242e-06,1.8587105988477387e-05,9.755978313300474,7.361480247950295e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.17116490000626072
bci_iv2a_real_s1,knn__k3,tv,0.4,1,5.629425408998149e-06,1.8986844800381862e-05,10.00856274560479,7.432145152571884e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.17119449999881908
bci_iv2a_real_s1,knn__k3,tv,0.4,2,5.679631244024891e-06,1.865196548817352e-05,9.740732489303362,7.339938826145251e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.16419119999773102
bci_iv2a_real_s1,knn__k3,tv,0.4,3,5.599148270248425e-06,1.7912411068913162e-05,9.814082315600816,7.077707038996097e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.16487230000348063
bci_iv2a_real_s1,knn__k3,tv,0.4,4,5.744214804919818e-06,1.8651699404394095e-05,9.816768571098907,7.570779695655187e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.16261169999779668
bci_iv2a_real_s1,knn__k3,tv,0.4,5,5.576071513812584e-06,1.9139218734569016e-05,9.861476851712254,7.482780612200913e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.23653009999543428
bci_iv2a_real_s2,knn__k3,tv,0.4,0,1.5757318119035551e-06,4.040716391070295e-06,18.62907183742458,2.6316584627931807e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.19397240000398597
bci_iv2a_real_s2,knn__k3,tv,0.4,1,1.6044941004081507e-06,4.24262154370399e-06,18.38395414760068,2.8230910707932253e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.1883259999958682
bci_iv2a_real_s2,knn__k3,tv,0.4,2,1.6128162239886735e-06,4.388245604955072e-06,18.710028220514403,2.899783868991958e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.18241950000083307
bci_iv2a_real_s2,knn__k3,tv,0.4,3,1.6459261724068704e-06,4.4840118228365285e-06,18.546048004725222,2.867380632819981e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.21529190000001108
bci_iv2a_real_s2,knn__k3,tv,0.4,4,1.6160501470794201e-06,4.225882350530557e-06,18.50039423502687,2.8938959778421957e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.18609659999492578
bci_iv2a_real_s2,knn__k3,tv,0.4,5,1.5566900763216492e-06,4.038039229466701e-06,18.57216598360446,2.876399433086609e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.17573149999952875
bci_iv2a_real_s3,knn__k3,tv,0.4,0,1.339689381089479e-06,2.831615270931486e-06,10.571813350639559,2.0142691167252535e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.19013469999481458
bci_iv2a_real_s3,knn__k3,tv,0.4,1,1.309896421849698e-06,2.7707660591394017e-06,10.711936489419807,2.004411816923917e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.18277220000163652
bci_iv2a_real_s3,knn__k3,tv,0.4,2,1.334623231934953e-06,2.860212394631402e-06,10.568586091007925,2.0400831651973007e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.16494589999638265
bci_iv2a_real_s3,knn__k3,tv,0.4,3,1.3352201548141676e-06,2.8251041730808007e-06,10.580181966363805,2.016893089922932e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.17489959999511484
bci_iv2a_real_s3,knn__k3,tv,0.4,4,1.3085095385834584e-06,2.73711790252845e-06,10.840522619968795,1.9819117010994845e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.17039540000405395
bci_iv2a_real_s3,knn__k3,tv,0.4,5,1.3263177306466415e-06,2.8021670318966703e-06,10.5967431150484,2.0080215697553993e-05,"{""lam"": 0.2, ""n_iter"": 30}",,10,0.20145179999963148
