dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,kalofolias,trss,0.3,0,3.3337785803581484e-06,1.2033099222158743e-05,13.597495312887325,5.156216871867698e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019634899996162858
bci_iv2a_real_s1,kalofolias,trss,0.3,1,3.302286027112967e-06,1.2472276887680093e-05,13.504768282211083,4.9464808896099916e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019418299998505972
bci_iv2a_real_s1,kalofolias,trss,0.3,2,3.388694156077326e-06,1.251058648154403e-05,13.594741904770439,5.092825151391443e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02127710000058869
bci_iv2a_real_s1,kalofolias,trss,0.3,3,3.177986806740395e-06,1.225084579689863e-05,13.93229393988522,5.139845475481201e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019136399998387787
bci_iv2a_real_s1,kalofolias,trss,0.3,4,3.1768510043531007e-06,1.1610462190673762e-05,13.758533418238777,4.863460357601036e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02030229999945732
bci_iv2a_real_s1,kalofolias,trss,0.3,5,3.1628880178189202e-06,1.1563435562942807e-05,13.455199690518569,4.975684013037388e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020267200001399033
bci_iv2a_real_s2,kalofolias,trss,0.3,0,9.606811574028858e-07,2.8045151819074322e-06,21.857855908950196,1.9114945369308854e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02124319999711588
bci_iv2a_real_s2,kalofolias,trss,0.3,1,9.537722080328893e-07,2.8838380153262565e-06,21.980468934838218,1.9510332401332775e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020695100000011735
bci_iv2a_real_s2,kalofolias,trss,0.3,2,9.50235523646863e-07,2.7734525441897722e-06,21.880058521770348,1.9004032739778746e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02064270000118995
bci_iv2a_real_s2,kalofolias,trss,0.3,3,9.262515200884408e-07,2.711637429706669e-06,21.913688206468,1.905731642799018e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.03107830000226386
bci_iv2a_real_s2,kalofolias,trss,0.3,4,9.579081577951969e-07,2.8108696681458147e-06,21.708700795739503,1.9442929531332674e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021209500002441928
bci_iv2a_real_s2,kalofolias,trss,0.3,5,9.118258011735512e-07,2.6226608112958925e-06,21.996378223697885,1.8852991506773046e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021227700002782512
bci_iv2a_real_s3,kalofolias,trss,0.3,0,8.202990050135795e-07,1.980231423628095e-06,13.805105450082314,1.4877516941521671e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019802599999820814
bci_iv2a_real_s3,kalofolias,trss,0.3,1,7.971846908372084e-07,1.9664557229830485e-06,14.036314763709186,1.4524539622278487e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019656300006317906
bci_iv2a_real_s3,kalofolias,trss,0.3,2,8.097849650582892e-07,1.9746796063415235e-06,13.909333238399777,1.4698841161359532e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02051519999804441
bci_iv2a_real_s3,kalofolias,trss,0.3,3,8.015833065799042e-07,1.967955454444702e-06,13.868541193722868,1.4307525150766848e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02185250000184169
bci_iv2a_real_s3,kalofolias,trss,0.3,4,8.024305205559114e-07,1.9476093613957607e-06,13.851278278063239,1.5037573738863785e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020641499999328516
bci_iv2a_real_s3,kalofolias,trss,0.3,5,7.891458718924976e-07,1.8900193184273888e-06,13.820707013148999,1.4828100069656284e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021604300003673416
