dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k5,trss,0.3,0,3.2552302059957223e-06,1.185931519632107e-05,13.88875878570182,5.061415434594479e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020641499999328516
bci_iv2a_real_s1,knn__k5,trss,0.3,1,3.233933944140186e-06,1.2246902993745462e-05,13.828311834551888,4.899593329948538e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.022054000000935048
bci_iv2a_real_s1,knn__k5,trss,0.3,2,3.3040992360966897e-06,1.2291154706084782e-05,13.764553716686265,5.1082588381588e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.03264640000270447
bci_iv2a_real_s1,knn__k5,trss,0.3,3,3.137890398146674e-06,1.2096199887416253e-05,14.011941712667015,5.041373446314547e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020658800000092015
bci_iv2a_real_s1,knn__k5,trss,0.3,4,3.1450550417890244e-06,1.1496192644192792e-05,13.897797137056079,4.965492500736181e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021475400004419498
bci_iv2a_real_s1,knn__k5,trss,0.3,5,3.1101115336906337e-06,1.131301624165891e-05,13.621798409647546,5.079844171280908e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.022705100003804546
bci_iv2a_real_s2,knn__k5,trss,0.3,0,1.0447793908874327e-06,2.899818623226657e-06,21.024517864826294,2.1050484249163592e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023338899998634588
bci_iv2a_real_s2,knn__k5,trss,0.3,1,1.0292219036049397e-06,2.9705409012237838e-06,21.190903467478176,2.120298355282471e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02312829999573296
bci_iv2a_real_s2,knn__k5,trss,0.3,2,1.0183961478719785e-06,2.875398707810118e-06,21.12036105262634,2.066385660697479e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.0214101000019582
bci_iv2a_real_s2,knn__k5,trss,0.3,3,9.983035198519606e-07,2.8172634172358778e-06,21.152004555062803,2.0266959896013548e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023063000000547618
bci_iv2a_real_s2,knn__k5,trss,0.3,4,1.0390248984813185e-06,2.9381801432370085e-06,20.90042832789057,2.104504963791215e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02195919999940088
bci_iv2a_real_s2,knn__k5,trss,0.3,5,1.0085039590163954e-06,2.789170913417348e-06,21.172547295719973,2.0274090848825156e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.023314500002015848
bci_iv2a_real_s3,knn__k5,trss,0.3,0,9.165571564893089e-07,2.187483096165704e-06,12.73467198222072,1.6204143889085684e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020505799999227747
bci_iv2a_real_s3,knn__k5,trss,0.3,1,9.213251104483717e-07,2.2144977273266566e-06,12.742852659399384,1.669501720814351e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.020995899998524692
bci_iv2a_real_s3,knn__k5,trss,0.3,2,9.116900235960433e-07,2.192537320053423e-06,12.764925684584748,1.653607249338685e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021093200004543178
bci_iv2a_real_s3,knn__k5,trss,0.3,3,9.011127777209143e-07,2.187416204851562e-06,12.74566778044167,1.643370276800931e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.024191000004066154
bci_iv2a_real_s3,knn__k5,trss,0.3,4,8.995456654845967e-07,2.1563163982645364e-06,12.857242092275813,1.6166535715379356e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.0219615000023623
bci_iv2a_real_s3,knn__k5,trss,0.3,5,9.080196401531911e-07,2.157232585643182e-06,12.718328506565113,1.676190295538314e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021271699995850213
physionet_eegmmidb_real,knn__k5,trss,0.3,0,3.7034657510329747e-06,9.147294318002176e-06,15.857608383859544,6.446879318567016e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02075689999765018
physionet_eegmmidb_real,knn__k5,trss,0.3,1,3.7616115796315345e-06,9.189254013416193e-06,15.788596072782648,6.559400913974772e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.021497500005352776
physionet_eegmmidb_real,knn__k5,trss,0.3,2,3.737470376473048e-06,9.030171307206439e-06,15.901649618177592,6.682152597744797e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.022418200001993682
physionet_eegmmidb_real,knn__k5,trss,0.3,3,3.637410405158641e-06,8.832346352610657e-06,15.84566993250146,6.725346469066454e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.019995800001197495
physionet_eegmmidb_real,knn__k5,trss,0.3,4,3.723858515932871e-06,9.016166589277015e-06,15.841522782691719,6.655236786164125e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.01987780000490602
physionet_eegmmidb_real,knn__k5,trss,0.3,5,3.7495982836074335e-06,9.143591200527177e-06,15.82001767778992,6.259887557193657e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,7,0.02210690000356408
