dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,0,5.896281585892945e-06,1.8630075002344013e-05,6.10729798120197,0.00010547320941014507,{},,7,0.41359229999943636
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,1,5.989525845450679e-06,1.964377819261147e-05,5.993843979689797,9.984280183397178e-05,{},,7,0.4733300999942003
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,2,5.961227078863086e-06,1.907036894903259e-05,6.0763867216921055,0.00010537580529488198,{},,7,0.4470184000019799
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,3,5.865955792085623e-06,1.9477195157071313e-05,5.984817536656614,9.76115660148201e-05,{},,7,0.4363482000044314
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,4,5.800707053047486e-06,1.8908913290656937e-05,6.164212344574474,0.00010056494295298167,{},,7,0.4668454000056954
bci_iv2a_real_s1,gaussian__sigma1.0,directed_tv,0.3,5,5.84506972703881e-06,1.8668937835157367e-05,6.098167147134401,0.00010371549341034529,{},,7,0.44468399999459507
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,0,5.037143533565159e-06,1.1776036013175964e-05,6.142404172296684,8.713172077011074e-05,{},,7,0.4642284999936237
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,1,5.072148159028205e-06,1.1789877995836359e-05,6.144546581351515,8.680695857517489e-05,{},,7,0.4411009000032209
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,2,5.009107339296046e-06,1.1676679373967301e-05,6.245221388552205,8.578348553997262e-05,{},,7,0.4756714000031934
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,3,4.986522178788272e-06,1.1709716710541141e-05,6.200098160150689,8.596742998989681e-05,{},,7,0.457678600003419
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,4,5.033044315480843e-06,1.1764807446135594e-05,6.133435334763848,8.78909271765407e-05,{},,7,0.45664599999872735
bci_iv2a_real_s2,gaussian__sigma1.0,directed_tv,0.3,5,4.998591787250223e-06,1.1677937138948017e-05,6.222260758765889,8.71438227278393e-05,{},,7,0.4457860999973491
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,0,1.911063471951966e-06,4.453856203076047e-06,5.953179050177032,2.6373280039650184e-05,{},,7,0.4699499000053038
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,1,1.9422288022743835e-06,4.500448417241432e-06,5.851063170493596,2.5530839755585413e-05,{},,7,0.49801980000484036
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,2,1.9140532854124918e-06,4.468431173621221e-06,5.889549955719102,2.637845918695965e-05,{},,7,0.47655289999966044
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,3,1.918690116978869e-06,4.498584135670623e-06,5.915859020537294,2.615138250928011e-05,{},,7,0.49651900000026217
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,4,1.9131322787409784e-06,4.454491129525206e-06,5.9535397471027,2.592039773100852e-05,{},,7,0.48897260000376264
bci_iv2a_real_s3,gaussian__sigma1.0,directed_tv,0.3,5,1.9418787199665065e-06,4.533027165863557e-06,5.873994856257674,2.6213046038978502e-05,{},,7,0.4549327999993693
