dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,0,1.6946276930764543e-06,1.0938628031712372e-05,12.010121692381672,5.381660398784337e-05,{},,2,0.36648619999323273
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,1,1.689790090888116e-06,1.0388991778460331e-05,12.42688789266541,5.438544066462696e-05,{},,2,0.3805609999981243
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,2,1.661795478543465e-06,1.0820801819910389e-05,12.093698079357699,5.221057524097036e-05,{},,2,0.3993985999986762
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,3,1.626679954318158e-06,9.881423285670675e-06,12.285984335463034,4.5906779327557075e-05,{},,2,0.38970379999955185
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,4,1.7869006581513468e-06,1.1008930188415299e-05,12.001194217990038,4.885988193222252e-05,{},,2,0.38374430000112625
bci_iv2a_real_s1,knn__k3,directed_tv,0.1,5,1.7307256760735438e-06,1.0376865171916727e-05,12.072878432109569,4.9778556113484794e-05,{},,2,0.3396139999968
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,0,1.3985515216427433e-06,6.137016659920719e-06,11.847681652304905,4.374567118838303e-05,{},,2,0.38790439999866067
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,1,1.3869318510898431e-06,6.088542217179729e-06,11.937599865144472,4.3516808243697205e-05,{},,2,0.3833671999964281
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,2,1.386623007627232e-06,6.078726567483131e-06,11.971174573506232,4.3039352904072236e-05,{},,2,0.3810964999938733
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,3,1.3967990794051704e-06,6.085980846168769e-06,12.011183254760326,4.343274170920445e-05,{},,2,0.3843847999960417
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,4,1.4192732554622343e-06,6.240564228991899e-06,11.882092794430077,4.342761842622477e-05,{},,2,0.37537309999606805
bci_iv2a_real_s2,knn__k3,directed_tv,0.1,5,1.4172123318167413e-06,6.234677162323954e-06,12.04455305767811,4.2359422432558964e-05,{},,2,0.3763816000064253
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,0,5.286558114854972e-07,2.332686201861315e-06,11.773489327402643,1.3331864225383089e-05,{},,2,0.3907993000029819
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,1,5.247987297371875e-07,2.288371935345003e-06,11.887745204692878,1.2694219968522039e-05,{},,2,0.4227642999976524
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,2,5.236883451641545e-07,2.2844815937713717e-06,11.77862417923942,1.2475501546152852e-05,{},,2,0.4403225999994902
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,3,5.441940051188337e-07,2.373417659058103e-06,11.600880494584436,1.312960159426135e-05,{},,2,0.4170483999987482
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,4,5.325082157621779e-07,2.3281883497105382e-06,11.722655367813006,1.1684495449091703e-05,{},,2,0.37431809999543475
bci_iv2a_real_s3,knn__k3,directed_tv,0.1,5,5.618815439022499e-07,2.4275015551963468e-06,11.33203253201385,1.2661643655406642e-05,{},,2,0.3814111000028788
