dataset,seed,graph,graph_params,method,method_params,mae,rmse,snr
synthetic,1,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08550715946101885,0.24390924151437193,9.631908603819516
synthetic,7,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08532104745507318,0.24544159848969593,9.571393441642805
synthetic,13,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08671284253274143,0.2445856208065916,9.450163996642077
synthetic,21,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.0846214494324937,0.24132490517204455,9.681467470707657
synthetic,42,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08584143787369646,0.24711371380387634,9.511486122239463
mne_sample,1,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",2.993527956232174e-06,9.96353519054672e-06,12.335079727095355
mne_sample,7,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.0177569499405476e-06,9.953834625217979e-06,12.301667455455508
mne_sample,13,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",2.938132839672544e-06,9.672559311753186e-06,12.138160209385338
mne_sample,21,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",2.9201209689203644e-06,9.44338977761001e-06,12.262943605640793
mne_sample,42,nnk,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",2.947898628825721e-06,9.610798606461e-06,12.311250152461206
