dataset,graph,method,graph_params,method_params,mae_mean,mae_std,rmse_mean,snr_mean
mne_sample,nnk,trss,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",2.96348746871827e-06,4.066365062980643e-08,9.728823502317779e-06,12.26982023000764
mne_sample,nnk,trss,"{'k': 7, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.096171250064011e-06,4.4850744495260264e-08,1.0449847933732532e-05,12.069680572956027
mne_sample,nnk,trss,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.289082492414517e-06,4.403573965484325e-08,1.0778746008013272e-05,11.322581952569871
mne_sample,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4117243694511637e-06,5.0904108480876756e-08,1.1306328201938367e-05,10.936202325780291
mne_sample,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4208369510901826e-06,5.127633473870306e-08,1.1341611638379405e-05,10.907097575580767
mne_sample,kalofolias,trss,"{'a': 0.8, 'b': 1.2, 'max_iter': 300}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.506261689559964e-06,4.972319004839432e-08,1.160812767025731e-05,9.629758430111071
mne_sample,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5112249080172753e-06,5.235299205266362e-08,1.1627361052439901e-05,10.656159265134784
mne_sample,kalofolias,trss,"{'a': 1.0, 'b': 1.2, 'max_iter': 300}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5295729055846996e-06,5.0027164703922676e-08,1.1684787433385246e-05,9.571833762919505
mne_sample,aew,trss,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.603601842557841e-06,6.469095176371454e-08,1.2054143080298484e-05,10.501996050068499
mne_sample,aew,trss,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.6178662524674903e-06,6.525904771564032e-08,1.2111859746814497e-05,10.463836001710721
synthetic,aew,trss,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.05491011528619215,0.0008990826720675931,0.15719965391211738,13.472473383673227
synthetic,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06062312658129,0.0009971178009165515,0.17162529866752277,12.670498029342976
synthetic,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}","{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.06905875706653138,0.0010201672105320137,0.19515635798298647,11.593659942742203
synthetic,aew,trss,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.6}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07097749462308103,0.0010333619620471095,0.20163643690223312,11.302139340080764
synthetic,aew,trss,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.6}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.07737865817413564,0.0011331117865228805,0.21684458412950908,10.608407776213433
synthetic,nnk,trss,"{'k': 7, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08535858227181982,0.000748620896494047,0.24382979254092355,9.593359594896489
synthetic,nnk,trss,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.08560078735100472,0.0007649677691072649,0.24447501595731608,9.569283927010304
synthetic,nnk,trss,"{'k': 5, 'backend': 'internal', 'reg': 1e-06}","{'alpha': 0.9, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.09562609301992954,0.0007893944036857836,0.2727433239999927,8.612197557387674
synthetic,kalofolias,trss,"{'a': 0.8, 'b': 1.2, 'max_iter': 300}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.14014809912235757,0.003580413604459414,0.40332391894023784,5.032992184683307
synthetic,kalofolias,trss,"{'a': 1.0, 'b': 1.2, 'max_iter': 300}","{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.14019933669645485,0.003583593189043811,0.4034699056116585,5.029998996663338
