tag,artifact,timestamp,commit,author,commit_date,description
canonical_run_metadata,Thesis-Copilot-Toolkit/results/canonical_run_metadata.json,,b9115785f0256d45f0191fef31310bcbd3c7663a,copilot-swe-agent[bot],Sat Apr 4 01:01:38 2026 +0000,
it01_retry_run_metadata,Thesis-Copilot-Toolkit/results/it01_retry_run_metadata.json,,2fa4909db67e913c71a60e8c8fef7b4797137cd4,copilot-swe-agent[bot],Sun Apr 5 05:00:03 2026 +0000,
it01_run_metadata,Thesis-Copilot-Toolkit/results/it01_run_metadata.json,,2fa4909db67e913c71a60e8c8fef7b4797137cd4,copilot-swe-agent[bot],Sun Apr 5 05:00:03 2026 +0000,
it02_run_metadata,Thesis-Copilot-Toolkit/results/it02_run_metadata.json,,2fa4909db67e913c71a60e8c8fef7b4797137cd4,copilot-swe-agent[bot],Sun Apr 5 05:00:03 2026 +0000,
it03_synthetic_beta_run_metadata,Thesis-Copilot-Toolkit/results/it03_synthetic_beta_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it04_physionet_run_metadata,Thesis-Copilot-Toolkit/results/it04_physionet_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it05_all_datasets_run_metadata,Thesis-Copilot-Toolkit/results/it05_all_datasets_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it05b_synthetic_three_run_metadata,Thesis-Copilot-Toolkit/results/it05b_synthetic_three_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it06_tv_focus_kalofolias_nnk_run_metadata,Thesis-Copilot-Toolkit/results/it06_tv_focus_kalofolias_nnk_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it06b_kalofolias_nnk_3syn_run_metadata,Thesis-Copilot-Toolkit/results/it06b_kalofolias_nnk_3syn_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it07_graph_focus_knn_run_metadata,Thesis-Copilot-Toolkit/results/it07_graph_focus_knn_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it07b_knn_3syn_run_metadata,Thesis-Copilot-Toolkit/results/it07b_knn_3syn_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
it08_high_missing_synthetic_run_metadata,Thesis-Copilot-Toolkit/results/it08_high_missing_synthetic_run_metadata.json,,b635bbad7402a0d50e734e5b3534ff2841005603,copilot-swe-agent[bot],Sun Apr 5 15:04:26 2026 +0000,
