graph_method,method,mae_mean
gaussian,trss,0.10526677530255792
vknng,trss,0.11262988643746365
knng,trss,0.11313086693194774
knn,trss,0.11330357621453145
nnk,trss,0.11893648516424841
kalofolias,trss,0.12301307418233538
aew,trss,0.12431353778370889
gaussian,tv,0.13256240512701287
knn,mean,0.13258531146636532
knng,mean,0.13258531146636532
gaussian,mean,0.13258531146636532
nnk,mean,0.13258531146636532
kalofolias,mean,0.13258531146636532
vknng,mean,0.13258531146636532
aew,mean,0.13258531146636532
kalofolias,tv,0.13258533997390048
vknng,tv,0.13273096284027214
knng,tv,0.13284036926298037
gaussian,gsmooth,0.13294204740402582
knn,tv,0.1329503526080124
gaussian,gsp,0.13360303915946062
aew,gsmooth,0.13422232036612722
aew,tv,0.13510775768346675
nnk,tv,0.13513741299104465
kalofolias,directed_tv,0.13521629335012061
vknng,gsmooth,0.13532436234513076
knng,gsmooth,0.13538147807103038
knn,gsmooth,0.1353979090119709
gaussian,heat_diffusion_temporal,0.1365420721870345
nnk,gsmooth,0.13678933665069673
nnk,idw,0.13709838896634774
aew,idw,0.13709838896634774
kalofolias,idw,0.13709838896634774
vknng,idw,0.13709838896634774
knn,idw,0.13709838896634774
knng,idw,0.13709838896634774
gaussian,idw,0.13709838896634774
knn,heat_diffusion_temporal,0.1399953641385733
vknng,heat_diffusion_temporal,0.1401065099820386
knng,heat_diffusion_temporal,0.1402447768145998
aew,gsp,0.14027373396147566
gaussian,directed_tv,0.14045457906552072
aew,heat_diffusion_temporal,0.14088149210876233
nnk,heat_diffusion_temporal,0.14096169545421686
kalofolias,gsmooth,0.14096762096389837
vknng,gsp,0.1422556003509383
knng,gsp,0.142442148779966
knn,gsp,0.14264183782699114
aew,wavelet_temporal,0.14308760349022512
nnk,gsp,0.1482996550805005
vknng,directed_tv,0.1508492559047613
knn,directed_tv,0.15176766237889103
nnk,wavelet_temporal,0.15288980911753933
knng,directed_tv,0.15465364492742914
knn,linear,0.15618926326107138
vknng,linear,0.1561892632610714
aew,linear,0.1561892632610714
kalofolias,linear,0.1561892632610714
gaussian,linear,0.1561892632610714
knng,linear,0.1561892632610714
nnk,linear,0.1561892632610714
kalofolias,gsp,0.16408721679546873
knng,wavelet_temporal,0.16457959496891453
knn,wavelet_temporal,0.16745512986514977
vknng,wavelet_temporal,0.16772459368450657
kalofolias,nearest,0.17202933070946616
vknng,nearest,0.17202933070946616
aew,nearest,0.17202933070946616
knn,nearest,0.17202933070946616
gaussian,nearest,0.17202933070946616
knng,nearest,0.17202933070946616
nnk,nearest,0.17202933070946616
gaussian,wavelet_temporal,0.17472236365612037
nnk,directed_tv,0.1748664870895169
knng,rbfi_tps,0.17655837152188078
nnk,rbfi_tps,0.17655837152188078
knn,rbfi_tps,0.17655837152188078
kalofolias,rbfi_tps,0.17655837152188078
aew,rbfi_tps,0.17655837152188078
gaussian,rbfi_tps,0.17655837152188078
vknng,rbfi_tps,0.17655837152188078
kalofolias,wavelet_temporal,0.18620296777585196
aew,directed_tv,0.18883326245396717
vknng,rbfi_mq,0.18923327994603678
nnk,rbfi_mq,0.18923327994603678
knng,rbfi_mq,0.18923327994603678
kalofolias,rbfi_mq,0.18923327994603678
knn,rbfi_mq,0.18923327994603678
aew,rbfi_mq,0.18923327994603678
gaussian,rbfi_mq,0.18923327994603678
gaussian,spherical_spline,0.19168991221455153
kalofolias,spherical_spline,0.19168991221455153
knn,spherical_spline,0.19168991221455153
aew,spherical_spline,0.19168991221455153
knng,spherical_spline,0.19168991221455153
nnk,spherical_spline,0.19168991221455153
vknng,spherical_spline,0.19168991221455153
aew,puy,0.2074146585468847
aew,spline_temporal,0.2075324086890642
aew,tikhonov,0.2226973591349447
nnk,spline_temporal,0.24164696341239375
knng,spline_temporal,0.28249148718052436
nnk,tikhonov,0.28816961926451623
knn,spline_temporal,0.29269601806204776
vknng,spline_temporal,0.29412101474796354
gaussian,spline_temporal,0.31885268857523724
aew,graph_time_tikhonov,0.32933905901003385
nnk,puy,0.3516845171331026
kalofolias,spline_temporal,0.3598775059944573
knng,tikhonov,0.36001245761355793
knn,tikhonov,0.38076390753724326
vknng,tikhonov,0.38262343753967715
aew,temporal_laplacian,0.38545251419875354
nnk,graph_time_tikhonov,0.38853872355793134
nnk,temporal_laplacian,0.4210957306501307
gaussian,tikhonov,0.43163089097264074
knng,graph_time_tikhonov,0.4586331627207476
aew,sobolev,0.4694051376129971
knn,graph_time_tikhonov,0.47678549813269305
knng,temporal_laplacian,0.47836025476404004
vknng,graph_time_tikhonov,0.4796447295795458
knng,puy,0.48826257832377196
knn,temporal_laplacian,0.4941506245810395
vknng,temporal_laplacian,0.49645971614071627
knn,puy,0.5124693875118258
vknng,puy,0.516222458558048
gaussian,graph_time_tikhonov,0.5235289216665352
nnk,sobolev,0.5267653382804877
gaussian,temporal_laplacian,0.5378484651530091
aew,bgsrp,0.5717290142873314
nnk,bgsrp,0.5724027242115455
gaussian,puy,0.5739392902647176
knng,bgsrp,0.5744344668179605
vknng,bgsrp,0.5751404444580289
knn,bgsrp,0.5765815594167983
knng,sobolev,0.5773812108270927
gaussian,bgsrp,0.5833816460051577
knn,sobolev,0.5847979102149141
kalofolias,tikhonov,0.5863466117140974
vknng,sobolev,0.5868144224647338
kalofolias,bgsrp,0.5911261696246762
kalofolias,puy,0.5913515679159927
kalofolias,graph_time_tikhonov,0.5952697547522589
gaussian,sobolev,0.6049980405772614
kalofolias,sobolev,0.6117308738392028
kalofolias,temporal_laplacian,0.6223714123084586
kalofolias,heat_diffusion_temporal,1.2125958767519371
knng,spline_surface,3.080430030254354
gaussian,spline_surface,3.080430030254354
aew,spline_surface,3.080430030254354
knn,spline_surface,3.080430030254354
kalofolias,spline_surface,3.080430030254354
nnk,spline_surface,3.080430030254354
vknng,spline_surface,3.080430030254354
