method,family,mae_mean,mae_std,dtw_mean,dtw_std,rmse_mean,snr_mean,n_runs,rank
trss,tv_time,0.11548722227891561,0.0698805175092473,1.886938772138465,0.7833005975722742,0.278056900544067,9.531149971706482,96,1
mean,instant,0.13258531146636532,0.07279623500009051,2.0216033768224198,0.7491556111651277,0.3153877316684399,7.946744261597277,96,2
tv,tv_time,0.13335811913683776,0.07314708278489321,2.0238215676736835,0.7395617440719473,0.31860620262458333,7.864104517297254,96,3
gsmooth,instant,0.1358028729781064,0.0744242141834184,2.032498988633186,0.7238349919342707,0.3266017503083184,7.664373351713242,96,4
idw,instant,0.13709838896634774,0.07541124825328162,2.0304419183302396,0.7133853254469774,0.3316638174442337,7.541911527205102,96,5
gsp,instant,0.144530633722724,0.07937531882067245,2.0666599105384718,0.6998044213400367,0.3558891465698906,7.017705501191017,96,6
directed_tv,tv_time,0.15605110594363725,0.0793975550064529,2.346497626766452,0.7203506022140784,0.3923637843302934,6.170028394218307,96,7
linear,instant,0.15618926326107138,0.08565698715503064,2.123341919109517,0.684103822534443,0.39337957575780097,6.057495739751416,96,8
wavelet_temporal,tv_time,0.16551464905293217,0.0708586773970086,2.286762307862125,0.7593056627591892,0.32528992525678563,7.444368520545928,96,9
nearest,instant,0.17202933070946616,0.09547916009110236,2.225497375837835,0.7358843634744665,0.44026592445513807,5.1289350407819585,96,10
rbfi_tps,instant,0.17655837152188078,0.0991405390187633,2.385943264435222,0.8079252125496831,0.44581549485716926,5.210996547909574,96,11
rbfi_mq,instant,0.18923327994603678,0.10659678022733679,2.5628829257555243,0.9094649698135682,0.4830736003162737,4.584594737699543,96,12
spherical_spline,instant,0.19168991221455153,0.11275091335491635,2.8234391686361224,1.051086027961111,0.4872006944009762,4.6700804596630645,96,13
heat_diffusion_temporal,tv_time,0.27391539394696696,0.4324170333622568,4.263948602838451,6.170845600163244,0.6026236314059545,5.395058092418924,96,14
spline_temporal,tv_time,0.286239263090467,0.10527470053343578,4.919228528816796,2.6210809985622032,0.8714526395233708,4.896360685089763,96,15
tikhonov,instant,0.37912602391424005,0.1433483239148787,3.4523795357410134,1.0614834645825317,0.4856655024313958,3.7915346630927,192,16
graph_time_tikhonov,tv_time,0.4660656684440548,0.08720601679576687,4.370352347405463,0.7356337452177102,0.5406022787027331,2.6070824759793116,96,17
puy,instant,0.46922673072077115,0.12546918808405494,4.002489607262251,0.9011270684995156,0.5755140586617193,2.1227351612580887,96,18
temporal_laplacian,tv_time,0.4912361677971484,0.07162588992843816,4.56979084082787,0.6385328914264791,0.5629071192969374,2.137264829367915,96,19
sobolev,instant,0.5683363555039505,0.04666753664988116,5.3281414438828385,0.38980987915618115,0.640086645794266,0.9523296261686034,96,20
bgsrp,instant,0.5776721980297871,0.013782473694760112,4.620303368609551,0.2683781520315556,0.6704297868255334,0.5477304274553695,192,21
spline_surface,instant,3.080430030254354,6.413326695016878,286.2369984537495,635.1336900097718,68.23990323228632,-3.30013596278276,96,22
