dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k3,knn,linear,linear,instant,0.1,0.03891456329207756,0.20001948157599972,0.9884296117229098,12.46515085418891
synthetic_alpha,knn__k3,knn,nearest,nearest,instant,0.1,0.03997194705623696,0.21997847910038276,1.0613494394646628,11.824149626124761
synthetic_alpha,knn__k3,knn,mean,mean,instant,0.1,0.03357369720457702,0.16636901346346486,0.7614024200493795,13.98703133686148
synthetic_alpha,knn__k3,knn,idw__power2,idw,instant,0.1,0.034764857135763036,0.17434959218631002,0.8037252463855566,13.648826674269706
synthetic_alpha,knn__k3,knn,spherical_spline,spherical_spline,instant,0.1,0.05831194156848674,0.3046059694314027,1.5659440587722429,9.128410134077551
synthetic_alpha,knn__k3,knn,rbfi_tps,rbfi_tps,instant,0.1,0.04382733130362105,0.23415068162061684,1.1377310841412251,11.235135164136315
synthetic_alpha,knn__k3,knn,rbfi_mq,rbfi_mq,instant,0.1,0.046304463938537425,0.24840556548833312,1.22557993413987,10.755722112882939
synthetic_alpha,knn__k3,knn,spline_surface,spline_surface,instant,0.1,0.14898444371599687,1.0402305652446082,5.476634934387804,2.522497715414909
synthetic_alpha,knn__k3,knn,gsp,gsp,instant,0.1,0.03793671651211721,0.19677401331840128,0.9319262117350503,12.566813377793832
synthetic_alpha,knn__k3,knn,tikhonov__alpha0_1,tikhonov,instant,0.1,0.17661249181186822,0.2548906641083642,1.758918564541932,9.262785539766938
synthetic_alpha,knn__k3,knn,tikhonov__alpha1,tikhonov,instant,0.1,0.4333293268133338,0.5083725307778478,3.90721429820525,2.9538892977472258
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.1,0.5522396243961946,0.6461745936598372,4.267741179498241,0.9063029373796586
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.1,0.5568751894706122,0.6479451038555499,4.398828944643878,0.8608185591073969
synthetic_alpha,knn__k3,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.1,0.03518605748925629,0.1781015937264658,0.822688545624919,13.426619996578387
synthetic_alpha,knn__k3,knn,puy__alpha0_5,puy,instant,0.1,0.45833570425046427,0.5423965556040292,3.9346259602913287,2.3972533199371084
synthetic_alpha,knn__k3,knn,sobolev__alpha1_order2,sobolev,instant,0.1,0.5594578627242431,0.6304500774150354,5.227032174873471,1.052217759139132
synthetic_alpha,knn__k3,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.1,0.3801744790429583,0.44524888146841135,3.5967381760999504,4.109625674631818
synthetic_alpha,knn__k3,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.1,0.019256399276576974,0.100616339048131,0.5514680520003747,18.795729295618163
synthetic_alpha,knn__k3,knn,tv__lam0_5_n_iter20,tv,tv_time,0.1,0.03409433467046992,0.17028326408133648,0.7799204996494393,13.790668111069737
synthetic_alpha,knn__k3,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.1,0.44548244721192154,0.5039852593766733,4.21008363484714,3.0081911121657328
synthetic_alpha,knn__k3,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.1,0.03939481981460847,0.195993872399954,0.9057604166145918,12.16644508799637
synthetic_alpha,knn__k3,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.1,0.16685094041987172,0.20992554520848886,1.716287501329755,10.711495798604847
synthetic_alpha,knn__k3,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.1,0.05219158377536923,0.16112278995854915,0.8784674337819788,13.618569251378998
synthetic_alpha,knn__k3,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.1,0.04551972450749531,0.24918850502959733,1.3064752126485997,10.901625203784965
synthetic_alpha,knn__k3,knn,linear,linear,instant,0.2,0.11148323447242268,0.34541256360971495,1.7771568864050649,6.597817472802678
synthetic_alpha,knn__k3,knn,nearest,nearest,instant,0.2,0.12365288586594193,0.39196214552140274,1.9634110649997876,5.723838703982551
synthetic_alpha,knn__k3,knn,mean,mean,instant,0.2,0.09263121605180716,0.2695789097417286,1.3893319131145194,8.672088831776946
synthetic_alpha,knn__k3,knn,idw__power2,idw,instant,0.2,0.09749730222491489,0.284079854671387,1.5031273911667424,8.282224683746971
synthetic_alpha,knn__k3,knn,spherical_spline,spherical_spline,instant,0.2,0.17016138931077837,0.5339680001762517,3.027300283969287,2.851435403125991
synthetic_alpha,knn__k3,knn,rbfi_tps,rbfi_tps,instant,0.2,0.1292297123281767,0.3957212331437163,2.0853846616596834,5.436893183903121
synthetic_alpha,knn__k3,knn,rbfi_mq,rbfi_mq,instant,0.2,0.13627318672664918,0.41975882130413256,2.2283688174532643,4.9057030333762155
