method,mae_mean,dataset,missing_ratio,family,rank
mean,0.03357369720457702,synthetic_alpha,0.1,instant,1
idw,0.034764857135763036,synthetic_alpha,0.1,instant,2
gsmooth,0.034861847489353726,synthetic_alpha,0.1,instant,3
gsp,0.03760523332749314,synthetic_alpha,0.1,instant,4
linear,0.03891456329207756,synthetic_alpha,0.1,instant,5
trss,0.02053985613189903,synthetic_alpha,0.1,tv_time,1
tv,0.03411222725123653,synthetic_alpha,0.1,tv_time,2
wavelet_temporal,0.053391391643418926,synthetic_alpha,0.1,tv_time,3
directed_tv,0.054286665852636744,synthetic_alpha,0.1,tv_time,4
heat_diffusion_temporal,0.07168654708869843,synthetic_alpha,0.1,tv_time,5
mean,0.09263121605180716,synthetic_alpha,0.2,instant,1
idw,0.09749730222491489,synthetic_alpha,0.2,instant,2
gsmooth,0.09825404234769072,synthetic_alpha,0.2,instant,3
gsp,0.10715901205196879,synthetic_alpha,0.2,instant,4
linear,0.11148323447242268,synthetic_alpha,0.2,instant,5
trss,0.06344836683266959,synthetic_alpha,0.2,tv_time,1
tv,0.09425377044498022,synthetic_alpha,0.2,tv_time,2
wavelet_temporal,0.1161102319765398,synthetic_alpha,0.2,tv_time,3
directed_tv,0.13461228755315316,synthetic_alpha,0.2,tv_time,4
spline_temporal,0.19912859092207177,synthetic_alpha,0.2,tv_time,5
mean,0.1523575051398916,synthetic_alpha,0.3,instant,1
idw,0.1595164332114219,synthetic_alpha,0.3,instant,2
gsmooth,0.1607047022304953,synthetic_alpha,0.3,instant,3
gsp,0.1763625939105946,synthetic_alpha,0.3,instant,4
linear,0.191724629994285,synthetic_alpha,0.3,instant,5
trss,0.1094620969536574,synthetic_alpha,0.3,tv_time,1
tv,0.15432060668821876,synthetic_alpha,0.3,tv_time,2
wavelet_temporal,0.17124477317783973,synthetic_alpha,0.3,tv_time,3
directed_tv,0.19976490254787402,synthetic_alpha,0.3,tv_time,4
spline_temporal,0.23857174329155656,synthetic_alpha,0.3,tv_time,5
mean,0.22419172723242395,synthetic_alpha,0.4,instant,1
gsmooth,0.23355124042156347,synthetic_alpha,0.4,instant,2
idw,0.23414072874280797,synthetic_alpha,0.4,instant,3
gsp,0.25003534459254845,synthetic_alpha,0.4,instant,4
linear,0.26569661932302446,synthetic_alpha,0.4,instant,5
trss,0.17646886022052172,synthetic_alpha,0.4,tv_time,1
tv,0.2261518573857381,synthetic_alpha,0.4,tv_time,2
wavelet_temporal,0.24537362096015886,synthetic_alpha,0.4,tv_time,3
spline_temporal,0.2747894963740984,synthetic_alpha,0.4,tv_time,4
directed_tv,0.2758433099725933,synthetic_alpha,0.4,tv_time,5
mean,0.034227452907709066,synthetic_beta,0.1,instant,1
gsmooth,0.03445020983569147,synthetic_beta,0.1,instant,2
idw,0.03447839642216307,synthetic_beta,0.1,instant,3
gsp,0.03595741873236294,synthetic_beta,0.1,instant,4
rbfi_tps,0.03938214407418618,synthetic_beta,0.1,instant,5
trss,0.027499562136573855,synthetic_beta,0.1,tv_time,1
tv,0.03399056419555661,synthetic_beta,0.1,tv_time,2
directed_tv,0.045686604185379426,synthetic_beta,0.1,tv_time,3
heat_diffusion_temporal,0.06615786881454307,synthetic_beta,0.1,tv_time,4
wavelet_temporal,0.0795381449405376,synthetic_beta,0.1,tv_time,5
idw,0.10102135287399384,synthetic_beta,0.2,instant,1
mean,0.1010506904970469,synthetic_beta,0.2,instant,2
gsmooth,0.10163754452749409,synthetic_beta,0.2,instant,3
gsp,0.10638866980846297,synthetic_beta,0.2,instant,4
linear,0.11322331502370699,synthetic_beta,0.2,instant,5
trss,0.08481980239255058,synthetic_beta,0.2,tv_time,1
tv,0.1003358742087667,synthetic_beta,0.2,tv_time,2
directed_tv,0.11743254546547684,synthetic_beta,0.2,tv_time,3
wavelet_temporal,0.14234247508837344,synthetic_beta,0.2,tv_time,4
heat_diffusion_temporal,0.19640001037042498,synthetic_beta,0.2,tv_time,5
idw,0.16115681496947387,synthetic_beta,0.3,instant,1
mean,0.16215766793279082,synthetic_beta,0.3,instant,2
gsmooth,0.16303120173511224,synthetic_beta,0.3,instant,3
gsp,0.17087019040130147,synthetic_beta,0.3,instant,4
linear,0.18556136374596435,synthetic_beta,0.3,instant,5
trss,0.14316453262210183,synthetic_beta,0.3,tv_time,1
tv,0.16108160110824316,synthetic_beta,0.3,tv_time,2
directed_tv,0.1768842154397406,synthetic_beta,0.3,tv_time,3
wavelet_temporal,0.1955192754457048,synthetic_beta,0.3,tv_time,4
spline_temporal,0.2981049309727638,synthetic_beta,0.3,tv_time,5
