tag,gain_pct,tv_median,instant_median,p_value,decision
scr_00714,12.917344723673091,0.0463658952848601,0.05324354791173265,0.3772893772893773,NO-GO
scr_00283,5.209609285717247,0.4949133390722896,0.5221134076386051,0.4259074259074259,NO-GO
scr_00606,4.8843229788739295,0.0425589512253403,0.044744412864650654,0.5740925740925741,NO-GO
scr_00223,2.840041286513675,0.47576626418761075,0.4896731848050609,0.6227106227106227,NO-GO
scr_00319,1.5379542746003954,0.4203222539607949,0.42688758989736,0.4259074259074259,NO-GO
scr_00750,0.7139203367709939,0.0547748264669604,0.05516868694257295,0.5251415251415251,NO-GO
scr_00726,0.6835205329066005,0.0567995406643627,0.0571904491270073,0.5251415251415251,NO-GO
scr_00307,0.33246747283458633,0.47474002118102987,0.4763236423572888,0.5251415251415251,NO-GO
scr_00247,0.33246747283458633,0.47474002118102987,0.4763236423572888,0.5251415251415251,NO-GO
scr_00235,0.33246747283458633,0.47474002118102987,0.4763236423572888,0.5251415251415251,NO-GO
scr_00808,0.0,,,1.0,NO-GO
scr_01480,0.0,,,1.0,NO-GO
scr_00795,0.0,,,1.0,NO-GO
scr_01506,0.0,,,1.0,NO-GO
scr_00794,0.0,,,1.0,NO-GO
scr_00788,0.0,,,1.0,NO-GO
scr_00787,0.0,,,1.0,NO-GO
scr_00786,0.0,,,1.0,NO-GO
scr_00785,0.0,,,1.0,NO-GO
scr_00809,0.0,,,1.0,NO-GO
scr_00810,0.0,,,1.0,NO-GO
scr_00811,0.0,,,1.0,NO-GO
scr_00812,0.0,,,1.0,NO-GO
scr_00818,0.0,,,1.0,NO-GO
scr_00819,0.0,,,1.0,NO-GO
scr_00820,0.0,,,1.0,NO-GO
scr_00821,0.0,,,1.0,NO-GO
scr_00822,0.0,,,1.0,NO-GO
scr_00823,0.0,,,1.0,NO-GO
scr_00824,0.0,,,1.0,NO-GO
scr_00830,0.0,,,1.0,NO-GO
scr_00831,0.0,,,1.0,NO-GO
scr_00832,0.0,,,1.0,NO-GO
scr_00833,0.0,,,1.0,NO-GO
scr_00834,0.0,,,1.0,NO-GO
scr_01442,0.0,,,1.0,NO-GO
scr_01443,0.0,,,1.0,NO-GO
scr_01444,0.0,,,1.0,NO-GO
scr_01445,0.0,,,1.0,NO-GO
scr_01446,0.0,,,1.0,NO-GO
scr_01447,0.0,,,1.0,NO-GO
scr_01448,0.0,,,1.0,NO-GO
scr_01454,0.0,,,1.0,NO-GO
scr_01455,0.0,,,1.0,NO-GO
scr_01456,0.0,,,1.0,NO-GO
scr_00760,0.0,,,1.0,NO-GO
scr_00761,0.0,,,1.0,NO-GO
scr_00762,0.0,,,1.0,NO-GO
scr_00763,0.0,,,1.0,NO-GO
scr_00764,0.0,,,1.0,NO-GO
scr_00796,0.0,,,1.0,NO-GO
scr_01411,0.0,,,1.0,NO-GO
scr_01412,0.0,,,1.0,NO-GO
scr_01418,0.0,,,1.0,NO-GO
scr_01419,0.0,,,1.0,NO-GO
scr_01420,0.0,,,1.0,NO-GO
scr_01421,0.0,,,1.0,NO-GO
scr_01422,0.0,,,1.0,NO-GO
scr_01423,0.0,,,1.0,NO-GO
scr_01424,0.0,,,1.0,NO-GO
scr_01430,0.0,,,1.0,NO-GO
scr_01431,0.0,,,1.0,NO-GO
scr_01432,0.0,,,1.0,NO-GO
scr_01433,0.0,,,1.0,NO-GO
scr_01434,0.0,,,1.0,NO-GO
scr_01435,0.0,,,1.0,NO-GO
scr_01436,0.0,,,1.0,NO-GO
scr_01385,0.0,,,1.0,NO-GO
scr_01386,0.0,,,1.0,NO-GO
scr_01387,0.0,,,1.0,NO-GO
scr_01388,0.0,,,1.0,NO-GO
scr_01394,0.0,,,1.0,NO-GO
scr_01395,0.0,,,1.0,NO-GO
scr_01396,0.0,,,1.0,NO-GO
scr_01397,0.0,,,1.0,NO-GO
scr_01398,0.0,,,1.0,NO-GO
scr_01399,0.0,,,1.0,NO-GO
scr_01400,0.0,,,1.0,NO-GO
scr_01406,0.0,,,1.0,NO-GO
scr_01407,0.0,,,1.0,NO-GO
scr_01408,0.0,,,1.0,NO-GO
scr_01409,0.0,,,1.0,NO-GO
scr_01410,0.0,,,1.0,NO-GO
scr_01359,0.0,,,1.0,NO-GO
scr_01360,0.0,,,1.0,NO-GO
scr_01361,0.0,,,1.0,NO-GO
scr_01362,0.0,,,1.0,NO-GO
scr_01363,0.0,,,1.0,NO-GO
scr_01364,0.0,,,1.0,NO-GO
scr_01370,0.0,,,1.0,NO-GO
scr_01371,0.0,,,1.0,NO-GO
scr_01372,0.0,,,1.0,NO-GO
scr_01373,0.0,,,1.0,NO-GO
scr_01374,0.0,,,1.0,NO-GO
scr_01375,0.0,,,1.0,NO-GO
scr_01376,0.0,,,1.0,NO-GO
scr_01382,0.0,,,1.0,NO-GO
scr_01383,0.0,,,1.0,NO-GO
scr_01384,0.0,,,1.0,NO-GO
scr_01328,0.0,,,1.0,NO-GO
scr_01334,0.0,,,1.0,NO-GO
scr_01335,0.0,,,1.0,NO-GO
scr_01336,0.0,,,1.0,NO-GO
scr_01337,0.0,,,1.0,NO-GO
scr_01338,0.0,,,1.0,NO-GO
scr_01339,0.0,,,1.0,NO-GO
scr_01340,0.0,,,1.0,NO-GO
scr_01346,0.0,,,1.0,NO-GO
scr_01347,0.0,,,1.0,NO-GO
scr_01348,0.0,,,1.0,NO-GO
scr_01349,0.0,,,1.0,NO-GO
