dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s2,knn__k7,mean,0.1,0,3.3428712324662646e-07,1.831609401275821e-06,25.737732022346563,1.1503658584046612e-05,{},,2,0.0030469999910565093
bci_iv2a_real_s2,knn__k7,nearest,0.1,0,3.223673502604167e-07,1.9989777761517338e-06,26.869916889631998,1.0940186469152174e-05,{},,2,0.004245999996783212
bci_iv2a_real_s2,knn__k7,tikhonov,0.1,0,2.1282012550745662e-06,3.402623105181072e-06,19.915830686085073,2.4291323557291625e-05,"{""alpha"": 0.1}",,2,0.006764600009773858
bci_iv2a_real_s2,knn__k7,tv,0.1,0,3.3429605780574106e-07,1.8315804661459646e-06,25.737321924250796,1.1504172256217296e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.16224630000942852
bci_iv2a_real_s2,knn__k7,trss,0.1,0,2.6216568704068024e-07,1.3157120040529735e-06,27.55858224881683,9.488583795984553e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016419300009147264
bci_iv2a_real_s2,knn__k7,graph_time_tikhonov,0.1,0,4.997752603615068e-06,6.908404275521925e-06,11.94977194735952,5.560195979789256e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.007819000005838461
bci_iv2a_real_s2,knn__k7,temporal_laplacian,0.1,0,1.542048434482953e-05,1.9461748370278716e-05,1.728523019600823,0.0001501124862424446,"{""alpha"": 0.5, ""beta"": 0.5}",,2,8.861754799989285
bci_iv2a_real_s2,knn__k7,mean,0.1,1,3.482078783439867e-07,1.9275206532404413e-06,25.29651179289195,1.3136655068649721e-05,{},,2,0.002022100001340732
bci_iv2a_real_s2,knn__k7,nearest,0.1,1,3.141657511393229e-07,1.965893019702227e-06,27.062053032066384,1.1941216977480028e-05,{},,2,0.0027396999939810485
bci_iv2a_real_s2,knn__k7,tikhonov,0.1,1,2.1327327159512702e-06,3.4431383808715592e-06,19.893670642834554,2.4964766881523643e-05,"{""alpha"": 0.1}",,2,0.006497599999420345
bci_iv2a_real_s2,knn__k7,tv,0.1,1,3.482181180205721e-07,1.9275142551530943e-06,25.29615256432415,1.313713491750701e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.16065910000179429
bci_iv2a_real_s2,knn__k7,trss,0.1,1,2.7672823698984236e-07,1.4396164256438972e-06,27.13325448879588,1.0589897105802123e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01651450000645127
bci_iv2a_real_s2,knn__k7,graph_time_tikhonov,0.1,1,4.989306605209552e-06,6.898259023661025e-06,11.970669100309935,5.573017875671458e-05,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.007937400005175732
bci_iv2a_real_s2,knn__k7,temporal_laplacian,0.1,1,1.5420945326706242e-05,1.9450814093839004e-05,1.7346481614206055,0.00015021452365659638,"{""alpha"": 0.5, ""beta"": 0.5}",,2,5.62937100000272
