dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
iris_graph_signal,knn__k3,tv,0.2,0,0.12457134734783953,0.3665898548724561,10.73111173768523,2.05198947787468,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.05164979999244679,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.2366242120282362,0.40037227111807167,9.23997890879367,2.522807963656314,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.0030189999961294234,0.05
iris_graph_signal,knn__k3,trss,0.2,0,0.08168067248913312,0.24447313424612582,12.925218602899628,1.4755198537577492,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0026403000083519146,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.38836202073719117,0.5144623848175657,6.5657025021287385,3.3737622255303137,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.042432599992025644,0.05
iris_graph_signal,knn__k3,tv,0.2,1,0.1387488947301409,0.41729357345164514,9.890385720955205,2.495358476469712,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.051593900003354065,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.24081341437766055,0.43034602076565026,9.105509660121282,2.6688569831360134,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.0025083999935304746,0.05
iris_graph_signal,knn__k3,trss,0.2,1,0.08714684389076875,0.24757835040885923,12.92009602531544,1.7311214202853904,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0025754000089364126,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.3895486308841716,0.5332448645935531,6.515045403173294,3.2612537645693918,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.016824399994220585,0.05
iris_graph_signal,knn__k3,tv,0.2,0,0.1259995803058506,0.3689206968385622,10.576245363801366,2.0762151139543468,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.05161769999540411,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.2801069826730792,0.43290285935267464,8.689715782546813,2.7132025728699616,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.002485400007572025,0.1
iris_graph_signal,knn__k3,trss,0.2,0,0.08326357417855047,0.25127948679354206,12.803939723488464,1.4776928932611786,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0025255999935325235,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.433341242140945,0.5520200977717347,5.541423277925167,3.639516705361847,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.017748500002198853,0.1
iris_graph_signal,knn__k3,tv,0.2,1,0.14005276572002046,0.4199994231391108,9.790960013939188,2.524257803503354,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.052779200006625615,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.28254378283227055,0.46045532068319067,8.618968299229612,2.8359306791974808,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.0025003000046126544,0.1
iris_graph_signal,knn__k3,trss,0.2,1,0.0889384937781416,0.25731986960157527,12.677707999462744,1.8284281279710377,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0025418999866815284,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.43476544885789326,0.5666438036724163,5.496369606321612,3.574026599889737,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.01799609999579843,0.1
iris_graph_signal,knn__k3,tv,0.2,0,0.12623442723942135,0.3688264997131875,10.53457705261378,2.076196069148856,"{""lam"": 0.2, ""n_iter"": 30}",,1,0.05095050000818446,0.2
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.3384638081658746,0.4875675179690426,7.8090821279143245,3.037633271944051,"{""alpha"": 0.2, ""beta"": 0.1}",,1,0.0025342000008095056,0.2
iris_graph_signal,knn__k3,trss,0.2,0,0.08843235675925423,0.26988237527723496,12.377803219451616,1.5406584910378076,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0025005999923450872,0.2
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.5025296856341492,0.6190568804499307,4.2862745880335495,4.112214945706935,"{""alpha"": 0.2, ""beta"": 0.5}",,1,0.02082190000510309,0.2
iris_graph_signal,knn__k3,tv,0.2,1,0.13868013128871753,0.41715314438628415,9.900590320919495,2.49932575097882,"{""lam"": 0.2, ""n_iter"": 30}",,1,0.05158240000309888,0.2
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.33872081674513144,0.5103300971581548,7.814192941498964,3.09937518463946,"{""alpha"": 0.2, ""beta"": 0.1}",,1,0.002542600006563589,0.2
iris_graph_signal,knn__k3,trss,0.2,1,0.09542359277863872,0.281127195273327,12.067418257239554,1.9299446020571973,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0025591000012354925,0.2
iris_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.5039094631159968,0.628880488992578,4.2394096662656455,4.083233106854913,"{""alpha"": 0.2, ""beta"": 0.5}",,1,0.017298299993854016,0.2
