method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.523,0.1035,0.5232,0.3583,0.6876,4
bgsrp,0.1,rmse,0.6189,0.0874,0.6179,0.4799,0.758,4
bgsrp,0.1,snr,1.6648,1.6544,1.5557,-0.9677,4.2973,4
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.5343,0.0935,0.5338,0.3855,0.6831,4
bgsrp,0.2,rmse,0.6472,0.058,0.6471,0.5549,0.7396,4
bgsrp,0.2,snr,1.4775,1.4665,1.4235,-0.8561,3.811,4
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5449,0.084,0.544,0.4112,0.6787,4
bgsrp,0.3,rmse,0.6753,0.0376,0.6859,0.6156,0.7351,4
bgsrp,0.3,snr,1.7849,2.0003,1.3963,-1.398,4.9678,4
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5618,0.0628,0.5675,0.4619,0.6617,4
bgsrp,0.4,rmse,0.7188,0.02,0.7187,0.687,0.7505,4
bgsrp,0.4,snr,1.8509,2.1364,1.3894,-1.5486,5.2505,4
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.077,0.009,0.0777,0.0626,0.0913,4
directed_tv,0.1,rmse,0.2666,0.0353,0.2622,0.2105,0.3227,4
directed_tv,0.1,snr,-0.7399,0.8239,-0.6968,-2.0509,0.571,4
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.135,0.0139,0.1329,0.1129,0.1571,4
directed_tv,0.2,rmse,0.3459,0.0329,0.346,0.2936,0.3983,4
directed_tv,0.2,snr,-0.7038,0.7886,-0.6934,-1.9586,0.551,4
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2126,0.0157,0.2107,0.1875,0.2376,4
directed_tv,0.3,rmse,0.4348,0.0466,0.4233,0.3605,0.509,4
directed_tv,0.3,snr,-0.6911,0.8989,-0.4243,-2.1215,0.7393,4
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2638,0.0194,0.2688,0.233,0.2946,4
directed_tv,0.4,rmse,0.4786,0.0383,0.4813,0.4177,0.5395,4
directed_tv,0.4,snr,-0.5446,0.7291,-0.3208,-1.7047,0.6155,4
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4268,0.216,0.4241,0.0831,0.7704,4
graph_time_tikhonov,0.1,rmse,0.5145,0.2087,0.5196,0.1824,0.8466,4
graph_time_tikhonov,0.1,snr,4.7817,5.2529,4.6709,-3.5769,13.1403,4
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4466,0.1959,0.4478,0.1348,0.7583,4
graph_time_tikhonov,0.2,rmse,0.5481,0.1726,0.5472,0.2735,0.8228,4
graph_time_tikhonov,0.2,snr,4.4088,4.8611,4.2291,-3.3264,12.1439,4
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4754,0.1649,0.4716,0.213,0.7378,4
graph_time_tikhonov,0.3,rmse,0.5885,0.1308,0.5927,0.3803,0.7966,4
graph_time_tikhonov,0.3,snr,3.8097,4.222,3.6902,-2.9085,10.5278,4
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4947,0.1398,0.4997,0.2722,0.7172,4
graph_time_tikhonov,0.4,rmse,0.6155,0.1014,0.6175,0.4543,0.7768,4
graph_time_tikhonov,0.4,snr,3.2797,3.6273,3.1077,-2.4921,9.0514,4
