method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
bgsrp,0.1,mae,0.4985,0.0944,0.4642,0.2641,0.7329,3
bgsrp,0.1,rmse,0.5954,0.0827,0.5503,0.39,0.8008,3
bgsrp,0.1,snr,2.0476,1.5841,2.5208,-1.8876,5.9828,3
bgsrp,0.1,dtw,,,,,,0
bgsrp,0.2,mae,0.5058,0.0882,0.4633,0.2867,0.7248,3
bgsrp,0.2,rmse,0.615,0.071,0.5941,0.4387,0.7914,3
bgsrp,0.2,snr,1.9007,1.4453,2.5801,-1.6897,5.4911,3
bgsrp,0.2,dtw,,,,,,0
bgsrp,0.3,mae,0.5189,0.0763,0.4873,0.3295,0.7084,3
bgsrp,0.3,rmse,0.6536,0.057,0.6753,0.5121,0.7951,3
bgsrp,0.3,snr,2.2324,2.0168,2.2355,-2.7777,7.2424,3
bgsrp,0.3,dtw,,,,,,0
bgsrp,0.4,mae,0.5308,0.0648,0.497,0.3698,0.6917,3
bgsrp,0.4,rmse,0.6805,0.0705,0.695,0.5055,0.8556,3
bgsrp,0.4,snr,2.258,2.182,1.9895,-3.1623,7.6783,3
bgsrp,0.4,dtw,,,,,,0
directed_tv,0.1,mae,0.0821,0.0042,0.0815,0.0718,0.0925,3
directed_tv,0.1,rmse,0.2737,0.0346,0.2576,0.1877,0.3598,3
directed_tv,0.1,snr,-0.4786,0.9594,-0.0733,-2.8619,1.9047,3
directed_tv,0.1,dtw,,,,,,0
directed_tv,0.2,mae,0.1232,0.0069,0.1205,0.1062,0.1403,3
directed_tv,0.2,rmse,0.3279,0.0327,0.3107,0.2467,0.4091,3
directed_tv,0.2,snr,-0.4856,0.8283,-0.0569,-2.5432,1.572,3
directed_tv,0.2,dtw,,,,,,0
directed_tv,0.3,mae,0.2088,0.0198,0.1975,0.1597,0.2579,3
directed_tv,0.3,rmse,0.4301,0.0572,0.398,0.288,0.5723,3
directed_tv,0.3,snr,-0.66,1.081,-0.0563,-3.3454,2.0254,3
directed_tv,0.3,dtw,,,,,,0
directed_tv,0.4,mae,0.2468,0.0163,0.2385,0.2063,0.2874,3
directed_tv,0.4,rmse,0.4632,0.0485,0.4376,0.3426,0.5837,3
directed_tv,0.4,snr,-0.5404,0.8774,-0.0845,-2.7201,1.6392,3
directed_tv,0.4,dtw,,,,,,0
graph_time_tikhonov,0.1,mae,0.4301,0.1848,0.4456,-0.029,0.8892,3
graph_time_tikhonov,0.1,rmse,0.5184,0.1713,0.5159,0.0929,0.9439,3
graph_time_tikhonov,0.1,snr,4.3168,4.7769,3.0841,-7.5496,16.1831,3
graph_time_tikhonov,0.1,dtw,,,,,,0
graph_time_tikhonov,0.2,mae,0.4447,0.1711,0.4585,0.0196,0.8697,3
graph_time_tikhonov,0.2,rmse,0.5417,0.1486,0.534,0.1725,0.9109,3
graph_time_tikhonov,0.2,snr,4.0317,4.4977,2.8528,-7.1412,15.2045,3
graph_time_tikhonov,0.2,dtw,,,,,,0
graph_time_tikhonov,0.3,mae,0.4735,0.139,0.4829,0.1281,0.8189,3
graph_time_tikhonov,0.3,rmse,0.5837,0.1042,0.5655,0.3247,0.8426,3
graph_time_tikhonov,0.3,snr,3.4668,3.8761,2.4244,-6.162,13.0956,3
graph_time_tikhonov,0.3,dtw,,,,,,0
graph_time_tikhonov,0.4,mae,0.4863,0.1255,0.4948,0.1746,0.7981,3
graph_time_tikhonov,0.4,rmse,0.5962,0.0904,0.5786,0.3718,0.8207,3
graph_time_tikhonov,0.4,snr,3.0841,3.3872,2.1958,-5.3302,11.4984,3
graph_time_tikhonov,0.4,dtw,,,,,,0
gsmooth,0.1,mae,0.0859,0.0031,0.0847,0.0782,0.0935,3
gsmooth,0.1,rmse,0.276,0.0078,0.2715,0.2567,0.2953,3
gsmooth,0.1,snr,-0.6484,0.2401,-0.5108,-1.2448,-0.0519,3
gsmooth,0.1,dtw,,,,,,0
gsmooth,0.2,mae,0.1244,0.0004,0.1245,0.1235,0.1254,3
gsmooth,0.2,rmse,0.3267,0.0009,0.3267,0.3245,0.329,3
gsmooth,0.2,snr,-0.4897,0.024,-0.4868,-0.5493,-0.43,3
gsmooth,0.2,dtw,,,,,,0
gsmooth,0.3,mae,0.2051,0.0033,0.2049,0.1969,0.2132,3
gsmooth,0.3,rmse,0.422,0.0087,0.4196,0.4004,0.4435,3
gsmooth,0.3,snr,-0.5366,0.174,-0.4962,-0.9689,-0.1042,3
gsmooth,0.3,dtw,,,,,,0
gsmooth,0.4,mae,0.2385,0.0008,0.2385,0.2366,0.2405,3
gsmooth,0.4,rmse,0.4491,0.0024,0.4494,0.4432,0.455,3
gsmooth,0.4,snr,-0.2985,0.0481,-0.3047,-0.4179,-0.1791,3
gsmooth,0.4,dtw,,,,,,0
gsp,0.1,mae,0.0891,0.0063,0.0883,0.0734,0.1048,3
gsp,0.1,rmse,0.2929,0.0198,0.3022,0.2437,0.3421,3
gsp,0.1,snr,-1.1647,0.5977,-1.4567,-2.6494,0.3201,3
gsp,0.1,dtw,,,,,,0
gsp,0.2,mae,0.1282,0.0051,0.1268,0.1154,0.141,3
gsp,0.2,rmse,0.3468,0.021,0.3465,0.2945,0.3991,3
gsp,0.2,snr,-0.9894,0.5174,-0.9982,-2.2748,0.296,3
gsp,0.2,dtw,,,,,,0
gsp,0.3,mae,0.2173,0.0126,0.2208,0.1861,0.2485,3
gsp,0.3,rmse,0.4553,0.035,0.4644,0.3684,0.5422,3
gsp,0.3,snr,-1.192,0.6789,-1.3641,-2.8784,0.4945,3
gsp,0.3,dtw,,,,,,0
gsp,0.4,mae,0.251,0.0156,0.2483,0.2121,0.2899,3
gsp,0.4,rmse,0.4839,0.0392,0.4774,0.3866,0.5813,3
gsp,0.4,snr,-0.9239,0.6974,-0.8252,-2.6564,0.8086,3
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.2981,0.3764,0.0813,-0.637,1.2331,3
