dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,linear,{},instant,0.1,2,"1,20",320,2.4121708820235268e-06,1.1409881224724707e-05,0.3655796111468863,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,nearest,{},instant,0.1,2,"1,20",320,3.247850528366559e-06,1.6116208433988595e-05,-2.66023910229176,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,mean,{},instant,0.1,2,"1,20",320,2.5070864624368216e-06,1.0910932804178628e-05,-0.8462268959880683,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,idw,{'power': 2.0},instant,0.1,2,"1,20",320,1.8714125202572914e-06,8.198027365456182e-06,1.5477836193334502,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,spherical_spline,{},instant,0.1,2,"1,20",320,2.6067679412863906e-06,1.1326997188462527e-05,0.01666573257491999,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,rbfi_tps,{},instant,0.1,2,"1,20",320,2.0248452537776256e-06,8.66473383172339e-06,0.6466119490717985,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,rbfi_mq,{},instant,0.1,2,"1,20",320,2.514482739545905e-06,1.0345226854077846e-05,2.1056862635783276,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,spline_surface,{},instant,0.1,2,"1,20",320,7.000300403089104e-06,3.1246557100373515e-05,-4.0740329360571135,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,gsp,{},instant,0.1,2,"1,20",320,1.467516812479137e-06,6.7650763216221514e-06,2.255289323973454,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.1,2,"1,20",320,5.4625056653398604e-06,9.470714653921984e-06,18.08876658700541,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.1,2,"1,20",320,2.176011722328267e-05,3.269076875619017e-05,4.573109007859495,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,gsmooth,"{'lam': 0.7, 'n_iter': 30}",instant,0.1,2,"1,20",320,1.9414773871024747e-06,8.602177830443574e-06,2.8369588046571166,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,puy,{'alpha': 0.1},instant,0.1,2,"1,20",320,1.690786273971043e-05,2.5770329943999892e-05,8.658907091978875,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.1,2,"1,20",320,2.8523711234555915e-05,4.379096374828387e-05,3.657292371551479,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.1,2,"1,20",320,1.7495730468354838e-05,2.553563989884087e-05,7.062490075070876,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.1,2,"1,20",320,1.85236776426897e-06,8.446830235884548e-06,4.500786277805787,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,tv,"{'lam': 0.1, 'n_iter': 20}",tv_time,0.1,2,"1,20",320,2.0401146601034223e-06,8.834219224144475e-06,-0.5806830440995832,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.1,2,"1,20",320,2.4383108099666425e-05,3.545113170182649e-05,5.178293074521617,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,1.859010623060343e-06,8.228641287644437e-06,-0.7194228619069216,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.1,2,"1,20",320,,,,1
physionet_eegmmidb,physionet_subj01_run4,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.1,2,"1,20",320,2.8192824215887314e-06,1.1531498172130979e-05,29.99092692008224,1
