method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.1,mae,2.5687718838601253e-05,2.562571768756397e-05,1.4484366107910587e-06,2.4741406919551093e-05,2.6634030757651413e-05,9,instant
bgsrp,0.1,rmse,3.8591302970015026e-05,3.849815708893453e-05,2.1760225744880946e-06,3.716963488801614e-05,4.0012971052013913e-05,9,instant
bgsrp,0.1,snr,5.600345761679925,5.655805495616086,1.257189420587358,4.778982006896185,6.4217095164636655,9,instant
bgsrp,0.2,mae,2.5461302687306367e-05,2.6107030220092873e-05,2.222770081363993e-06,2.4009092900815225e-05,2.691351247379751e-05,9,instant
bgsrp,0.2,rmse,3.671472711690972e-05,3.76458542650093e-05,3.205193307787655e-06,3.462066748915512e-05,3.880878674466432e-05,9,instant
bgsrp,0.2,snr,4.594976425339985,4.431029517099012,0.9704051008493424,3.960978426118415,5.228974424561556,9,instant
directed_tv,0.1,mae,2.321413710196331e-06,2.2593702662106023e-06,1.8756965415194656e-07,2.1988682028170593e-06,2.443959217575603e-06,9,tv_time
directed_tv,0.1,rmse,1.0502259198547966e-05,1.022156975166191e-05,8.485799480865211e-07,9.947853632464772e-06,1.105666476463116e-05,9,tv_time
directed_tv,0.1,snr,0.5955765731237873,0.7905400738669903,1.1515133681655976,-0.1567454940777364,1.347898640325311,9,tv_time
directed_tv,0.2,mae,5.917032502312682e-06,6.127746892608968e-06,5.827225044858393e-07,5.5363204660486e-06,6.297744538576764e-06,9,tv_time
directed_tv,0.2,rmse,1.922760259236328e-05,1.991232632094269e-05,1.893577014069317e-06,1.7990465609837993e-05,2.0464739574888567e-05,9,tv_time
directed_tv,0.2,snr,0.6854577032562524,0.546040367259922,1.2597365298014787,-0.13757016288071355,1.5084855693932184,9,tv_time
graph_time_tikhonov,0.1,mae,1.741978606132692e-05,1.768627621909299e-05,1.5547474780578542e-06,1.640401770899579e-05,1.843555441365805e-05,9,tv_time
graph_time_tikhonov,0.1,rmse,2.5424796339967834e-05,2.5813748188397828e-05,2.2692091539204867e-06,2.394224635940645e-05,2.690734632052922e-05,9,tv_time
graph_time_tikhonov,0.1,snr,7.3790567056906395,7.583598976798163,0.9536867833598713,6.75598134056219,8.002132070819089,9,tv_time
graph_time_tikhonov,0.2,mae,1.823270467194843e-05,1.8581855788873123e-05,1.6624105865566836e-06,1.714659642206473e-05,1.9318812921832128e-05,9,tv_time
graph_time_tikhonov,0.2,rmse,2.632621608419354e-05,2.6830355646347427e-05,2.4003559049402e-06,2.4757983559632608e-05,2.789444860875447e-05,9,tv_time
graph_time_tikhonov,0.2,snr,7.1188396625144055,7.270674624604361,1.1452626671089505,6.370601386669891,7.8670779383589196,9,tv_time
gsmooth,0.1,mae,1.8536514837681185e-06,1.8943164666614184e-06,1.64162514479443e-07,1.7463986409748825e-06,1.9609043265613545e-06,9,instant
gsmooth,0.1,rmse,8.213044254322452e-06,8.393220143387107e-06,7.273611075905875e-07,7.737834997363268e-06,8.688253511281636e-06,9,instant
gsmooth,0.1,snr,3.2356778494848952,3.418941017758715,0.8854846123880273,2.6571612360580508,3.8141944629117397,9,instant
gsmooth,0.2,mae,4.9896385752093225e-06,5.115278930505504e-06,3.512233275595793e-07,4.760172667870397e-06,5.219104482548248e-06,9,instant
gsmooth,0.2,rmse,1.510749544364333e-05,1.5487905981714247e-05,1.0634246831364917e-06,1.4412724650660822e-05,1.580226623662584e-05,9,instant
gsmooth,0.2,snr,3.8103132959764627,4.335907460527551,1.3104226891677226,2.954170472386884,4.666456119566042,9,instant
gsp,0.1,mae,1.657147500504337e-06,1.5890162038922158e-06,1.7556620215120988e-07,1.5424442484322132e-06,1.771850752576461e-06,9,instant
gsp,0.1,rmse,7.639251027154142e-06,7.325173929329665e-06,8.093391141760175e-07,7.110482805892477e-06,8.168019248415808e-06,9,instant
gsp,0.1,snr,3.48771841081802,3.559530765405353,1.3010930657383613,2.6376709412022907,4.337765880433749,9,instant
gsp,0.2,mae,5.391139503928327e-06,5.497037873050231e-06,5.901321988186467e-07,5.005586467366811e-06,5.776692540489842e-06,9,instant
gsp,0.2,rmse,1.6662886711473338e-05,1.6990196462282476e-05,1.8239754260750624e-06,1.547122276643763e-05,1.7854550656509047e-05,9,instant
gsp,0.2,snr,3.222745522186615,3.4216237122775324,1.173233745667183,2.456232808350722,3.989258236022508,9,instant
heat_diffusion_temporal,0.1,mae,2.041105537708504e-06,2.0676324201390627e-06,1.9669531625364575e-07,1.9125979310894555e-06,2.1696131443275525e-06,9,tv_time
heat_diffusion_temporal,0.1,rmse,9.034658055035071e-06,9.15207545829942e-06,8.706433305618025e-07,8.465837745734694e-06,9.603478364335449e-06,9,tv_time
heat_diffusion_temporal,0.1,snr,1.1925569991868903,1.04211276483808,1.3519593337656568,0.3092769011266613,2.075837097247119,9,tv_time
heat_diffusion_temporal,0.2,mae,5.141959090847029e-06,5.323078456647756e-06,4.5606768905840955e-07,4.843994867328868e-06,5.4399233143651905e-06,9,tv_time
heat_diffusion_temporal,0.2,rmse,1.6415199788188436e-05,1.69934055892461e-05,1.4559513408337832e-06,1.5463978245510365e-05,1.7366421330866507e-05,9,tv_time
heat_diffusion_temporal,0.2,snr,2.0512076913396395,2.0921949556427215,0.8959105909352141,1.4658794385952998,2.6365359440839793,9,tv_time
idw,0.1,mae,1.8702435814856422e-06,1.8723671744301799e-06,1.6173265230278934e-07,1.7645782486478198e-06,1.9759089143234645e-06,9,instant
idw,0.1,rmse,8.192906638767228e-06,8.20220938355704e-06,7.084962268414163e-07,7.730022437230836e-06,8.65579084030362e-06,9,instant
idw,0.1,snr,1.6993146620546253,1.4750794784106445,0.8421460090073248,1.1491126028365066,2.249516721272744,9,instant
idw,0.2,mae,4.980325190096281e-06,5.112131827130691e-06,4.4243235390550965e-07,4.691269385544682e-06,5.2693809946478805e-06,9,instant
idw,0.2,rmse,1.6196902969498854e-05,1.662556158701797e-05,1.438868674885863e-06,1.5256842101906757e-05,1.713696383709095e-05,9,instant
idw,0.2,snr,2.593468177704824,2.3745936491335504,0.9722513785276156,1.9582639437334484,3.2286724116761993,9,instant
linear,0.1,mae,2.1360602504851112e-06,2.0719688621764464e-06,1.7358939004846814e-07,2.0226485156534455e-06,2.249471985316777e-06,9,instant
linear,0.1,rmse,1.0103842115217568e-05,9.800681533361894e-06,8.211003362514314e-07,9.567389895533299e-06,1.0640294334901837e-05,9,instant
linear,0.1,snr,0.5426803724643557,0.5801245479260464,1.3491681265152593,-0.3387761368589469,1.4241368817876583,9,instant
linear,0.2,mae,3.263272633607995e-06,3.237828675796165e-06,3.22064034384822e-07,3.052857464476578e-06,3.4736878027394122e-06,9,instant
linear,0.2,rmse,1.118750979726934e-05,1.1100280025423268e-05,1.104135309725737e-06,1.0466141394915192e-05,1.1908878199623489e-05,9,instant
linear,0.2,snr,7.85641861421681,7.845156485901635,0.6929223118862643,7.403709370451118,8.309127857982503,9,instant
mean,0.1,mae,2.3013632352962814e-06,2.236423393867272e-06,1.7799105624604276e-07,2.1850757452155335e-06,2.4176507253770292e-06,9,instant
mean,0.1,rmse,1.001561772780608e-05,9.732997141415435e-06,7.746236452322955e-07,9.509530279587647e-06,1.0521705176024512e-05,9,instant
mean,0.1,snr,0.49730797979627245,0.6179303519411636,0.789991666974378,-0.018819909293654458,1.0134358688861993,9,instant
mean,0.2,mae,4.494358535047006e-06,4.105463088600217e-06,5.294012990703251e-07,4.148483019654394e-06,4.840234050439618e-06,9,instant
mean,0.2,rmse,1.3337311279074404e-05,1.218323788154089e-05,1.5710339667356873e-06,1.2310902420807088e-05,1.436372013734172e-05,9,instant
mean,0.2,snr,4.171985727767247,4.198558658570647,1.1018057786001187,3.4521392857485025,4.891832169785991,9,instant
nearest,0.1,mae,3.2988212480277302e-06,3.278150121146143e-06,2.2480406926338055e-07,3.1519492561089884e-06,3.445693239946472e-06,9,instant
nearest,0.1,rmse,1.6369131016144174e-05,1.626655850349944e-05,1.1155036863348382e-06,1.5640335274405413e-05,1.7097926757882935e-05,9,instant
nearest,0.1,snr,-2.3642510017020713,-2.011409923365106,1.1973471345024287,-3.146517796243658,-1.5819842071604846,9,instant
nearest,0.2,mae,5.294093621254561e-06,5.398659918187291e-06,5.517410789901024e-07,4.933622782981027e-06,5.6545644595280945e-06,9,instant
nearest,0.2,rmse,1.8290898737001012e-05,1.86521714468037e-05,1.9062451340745536e-06,1.7045485249405636e-05,1.9536312224596387e-05,9,instant
nearest,0.2,snr,3.554356889475963,3.5034827314600157,0.8362848685281365,3.007984108704247,4.100729670247679,9,instant
puy,0.1,mae,1.6578845771104075e-05,1.6522038845483706e-05,1.4993797852807072e-06,1.5599250978054014e-05,1.7558440564154135e-05,9,instant
puy,0.1,rmse,2.526885462635098e-05,2.518227164192073e-05,2.2852984065985667e-06,2.3775793000706582e-05,2.6761916251995377e-05,9,instant
puy,0.1,snr,8.60748490779305,8.200598373140075,1.1972249784151026,7.825297921895184,9.389671893690918,9,instant
puy,0.2,mae,1.9236232948552067e-05,2.0004680001041685e-05,1.940481793418755e-06,1.7968451510185147e-05,2.0504014386918986e-05,9,instant
puy,0.2,rmse,2.8807074483283267e-05,2.9957856527602098e-05,2.9059537647508475e-06,2.6908518023646047e-05,3.070563094292049e-05,9,instant
puy,0.2,snr,8.150695923434938,7.9794435919691455,1.1850599001729551,7.376456788655274,8.924935058214603,9,instant
rbfi_mq,0.1,mae,2.381060853406115e-06,2.2595955907066544e-06,2.152531538238403e-07,2.240428792907873e-06,2.5216929139043575e-06,9,instant
rbfi_mq,0.1,rmse,9.796294997156713e-06,9.296555755461615e-06,8.856066785988327e-07,9.217698633805475e-06,1.037489136050795e-05,9,instant
rbfi_mq,0.1,snr,1.3529918170663764,1.80367561432849,1.4104063249322867,0.43152635144394913,2.274457282688804,9,instant
rbfi_mq,0.2,mae,7.032465924458635e-06,7.058304704456958e-06,3.8192377415473677e-07,6.782942392010874e-06,7.281989456906396e-06,9,instant
rbfi_mq,0.2,rmse,2.1589612001712586e-05,2.1668936841783437e-05,1.1725028157694525e-06,2.082357682874321e-05,2.235564717468196e-05,9,instant
rbfi_mq,0.2,snr,0.29770967866156517,-0.41090753179724127,1.2765650393811188,-0.5363128137340991,1.1317321710572295,9,instant
rbfi_tps,0.1,mae,1.8469142903292561e-06,1.8227471061193634e-06,1.5490370959118212e-07,1.7457105333963505e-06,1.9481180472621617e-06,9,instant
rbfi_tps,0.1,rmse,7.903330245041429e-06,7.799913839145582e-06,6.628651797712019e-07,7.47025832759091e-06,8.336402162491947e-06,9,instant
rbfi_tps,0.1,snr,2.439830997106653,2.1817555307210093,1.2149014045553137,1.6460954127971812,3.2335665814161247,9,instant
rbfi_tps,0.2,mae,6.402866305405759e-06,6.397138853489672e-06,4.845255335316634e-07,6.0863096234984056e-06,6.719422987313112e-06,9,instant
rbfi_tps,0.2,rmse,1.973376555534844e-05,1.9716113430823188e-05,1.4933176530988084e-06,1.8758131355323885e-05,2.0709399755372994e-05,9,instant
rbfi_tps,0.2,snr,1.4607574716582206,1.3946535409573066,1.2620451456269155,0.6362213098486359,2.285293633467805,9,instant
sobolev,0.1,mae,2.4502657415952782e-05,2.469658850187447e-05,1.9991429324842275e-06,2.3196550700063086e-05,2.5808764131842478e-05,9,instant
sobolev,0.1,rmse,3.761764988486824e-05,3.7915382149910016e-05,3.0691797068116575e-06,3.561245247641796e-05,3.962284729331852e-05,9,instant
sobolev,0.1,snr,4.18177791913059,4.277391513752638,0.9944470658130417,3.5320725027994024,4.831483335461777,9,instant
sobolev,0.2,mae,2.6858628666349548e-05,2.5489253919693e-05,2.9736263848679794e-06,2.49158594282358e-05,2.8801397904463296e-05,9,instant
sobolev,0.2,rmse,4.06144602952743e-05,3.8543750842147456e-05,4.496589615258833e-06,3.76766884133052e-05,4.3552232177243406e-05,9,instant
sobolev,0.2,snr,4.007382816667727,4.020270158843169,1.0270575776452135,3.3363718659395207,4.678393767395933,9,instant
spherical_spline,0.1,mae,2.7131108120491073e-06,2.8335374541579324e-06,2.467081579172126e-07,2.5519281488765284e-06,2.874293475221686e-06,9,instant
spherical_spline,0.1,rmse,1.1789081050652389e-05,1.2312362089588864e-05,1.0720028303401726e-06,1.1088705868163476e-05,1.2489456233141302e-05,9,instant
spherical_spline,0.1,snr,0.04633217057504292,-0.354273446073754,0.987019042279876,-0.5985202703811427,0.6911846115312286,9,instant
spherical_spline,0.2,mae,7.406339304658888e-06,7.162336003517884e-06,8.596206554856098e-07,6.84472047640829e-06,7.967958132909487e-06,9,instant
spherical_spline,0.2,rmse,2.3919508638833366e-05,2.313147573492971e-05,2.7762303142219665e-06,2.2105704833541683e-05,2.573331244412505e-05,9,instant
spherical_spline,0.2,snr,0.42342594052808313,0.4643957957990552,0.5526319186681662,0.06237308699821459,0.7844787940579516,9,instant
spline_surface,0.1,mae,5.958289441901656e-06,5.925685152620654e-06,4.542763190730202e-07,5.661495580107283e-06,6.255083303696029e-06,9,instant
spline_surface,0.1,rmse,2.6595434559462144e-05,2.6449901978276577e-05,2.0277088304665916e-06,2.527066479022397e-05,2.792020432870032e-05,9,instant
spline_surface,0.1,snr,-4.777056512404496,-4.458771451656888,0.8830408258813058,-5.353976518646949,-4.200136506162043,9,instant
spline_surface,0.2,mae,9.816178181428144e-06,9.934506162664025e-06,8.874255345831652e-07,9.23639349883381e-06,1.039596286402248e-05,9,instant
