dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,linear,{},instant,0.1,2,"1,20",320,2.2069359473929835e-06,1.0439093356937238e-05,2.276581351822094,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,nearest,{},instant,0.1,2,"1,20",320,2.9579406810025993e-06,1.4677642377337826e-05,-4.441426181396987,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,mean,{},instant,0.1,2,"1,20",320,2.0325986991476076e-06,8.845944548200565e-06,1.1041607967982086,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,idw,{'power': 2.0},instant,0.1,2,"1,20",320,2.1592702726187474e-06,9.459035136684237e-06,1.589602285212588,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.1,2,"1,20",320,1.4470157219976072e-05,2.1119708303534845e-05,6.074426036567854,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.1,2,"1,20",320,1.8767178623399287e-06,8.557867119920207e-06,1.3744175311373845,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,tv,"{'lam': 0.1, 'n_iter': 20}",tv_time,0.1,2,"1,20",320,2.4334772559811516e-06,1.0537580057003861e-05,-0.9087501092621451,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.1,2,"1,20",320,2.4387181625098894e-05,3.545705428913598e-05,3.923472726331812,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.1,2,"1,20",320,2.275410499418904e-06,1.0071775034310966e-05,-0.8606071280257979,1
physionet_eegmmidb,physionet_subj01_run4_tv,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.1,2,"1,20",320,,,,1
