dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
mne_sample_proxy,knn__k3,directed_tv,0.1,0,1.2480171388377194e-07,4.603743521312131e-07,13.809151804268593,,{},
mne_sample_proxy,knn__k3,tv,0.1,0,1.2961930503617597e-07,4.982150754875074e-07,13.64466041335656,,{},
mne_sample_proxy,knn__k3,trss,0.1,0,1.4081108826716386e-07,5.458354306261547e-07,13.284988750618641,,{},
mne_sample_proxy,knn__k3,heat_diffusion_temporal,0.1,0,1.2251899458604234e-07,5.28855593102224e-07,13.889323056508754,,{},
mne_sample_proxy,knn__k3,graph_time_tikhonov,0.1,0,1.3754412759675913e-07,4.3293755668833215e-07,13.38693676958556,,{},
mne_sample_proxy,knn__k3,temporal_laplacian,0.1,0,1.3726064851399502e-07,6.098386151420421e-07,13.395896835456503,,{},
mne_sample_proxy,knn__k3,wavelet_temporal,0.1,0,1.3878261171506436e-07,4.7237366851874506e-07,13.348006739125072,,{},
mne_sample_proxy,knn__k3,linear,0.1,0,1.5939813819532093e-07,5.092055449220515e-07,12.746524857073434,,{},
mne_sample_proxy,knn__k3,nearest,0.1,0,2.1799461930201816e-07,7.015588411240136e-07,11.386899561913143,,{},
mne_sample_proxy,knn__k3,mean,0.1,0,1.6910008330129495e-07,4.7523568318494363e-07,12.489919086526989,,{},
mne_sample_proxy,knn__k3,idw,0.1,0,1.6762723585397245e-07,7.402645786812281e-07,12.527911465572014,,{},
mne_sample_proxy,knn__k3,gsmooth,0.1,0,1.8742155959718995e-07,7.395521609133264e-07,12.043161827988458,,{},
mne_sample_proxy,knn__k3,tikhonov,0.1,0,1.7750282212886456e-07,5.274045039589641e-07,12.279304679049936,,{},
mne_sample_proxy,knn__k3,spherical_spline,0.1,0,1.8424743949704108e-07,7.117862655702925e-07,12.117342691097534,,{},
mne_sample_proxy,knn__k3,rbfi_tps,0.1,0,1.9956388430857043e-07,6.837056130688376e-07,11.770537818572837,,{},
mne_sample_proxy,knn__k3,rbfi_mq,0.1,0,1.8628846107391367e-07,5.003319221404676e-07,12.069497752426857,,{},
mne_sample_proxy,knn__k3,spline_surface,0.1,0,1.8935227793196006e-07,5.996226778938234e-07,11.998651961669617,,{},
mne_sample_proxy,knn__k3,puy,0.1,0,2.1002308499885854e-07,9.318814415753696e-07,11.548686968610944,,{},
mne_sample_proxy,knn__k3,bgsrp,0.1,0,1.6700623231751144e-07,5.453581356401788e-07,12.544030517842677,,{},
mne_sample_proxy,knn__k3,sobolev,0.1,0,2.0017486590675525e-07,5.086555886712295e-07,11.757261840563405,,{},
mne_sample_proxy,knn__k3,directed_tv,0.2,0,1.276685567909484e-07,5.531141848715549e-07,13.710517809438084,,{},
mne_sample_proxy,knn__k3,tv,0.2,0,1.2545915994696167e-07,3.3657177345665275e-07,13.786333546729825,,{},
mne_sample_proxy,knn__k3,trss,0.2,0,1.3028685540438243e-07,4.6914175023583946e-07,13.622351278578913,,{},
mne_sample_proxy,knn__k3,heat_diffusion_temporal,0.2,0,1.4259293437480553e-07,5.263795259072154e-07,13.23037723732499,,{},
mne_sample_proxy,knn__k3,graph_time_tikhonov,0.2,0,1.813215411973593e-07,6.267472629148268e-07,12.186863284227211,,{},
mne_sample_proxy,knn__k3,temporal_laplacian,0.2,0,1.3656181921449186e-07,6.025859183863219e-07,13.418064363881042,,{},
mne_sample_proxy,knn__k3,wavelet_temporal,0.2,0,1.7158898888391543e-07,4.4971777455552884e-07,12.426463151062856,,{},
mne_sample_proxy,knn__k3,linear,0.2,0,1.9558110502542157e-07,6.863011214291406e-07,11.85808834749135,,{},
mne_sample_proxy,knn__k3,nearest,0.2,0,2.4503871994759327e-07,9.060369339742166e-07,10.879010153263984,,{},
mne_sample_proxy,knn__k3,mean,0.2,0,1.9195227553832791e-07,5.166732459054827e-07,11.939424653637944,,{},
mne_sample_proxy,knn__k3,idw,0.2,0,2.4999845481982534e-07,9.631662687540569e-07,10.791984060291007,,{},
mne_sample_proxy,knn__k3,gsmooth,0.2,0,2.1910780963615864e-07,7.200498776791365e-07,11.364778730182543,,{},
mne_sample_proxy,knn__k3,tikhonov,0.2,0,2.475429052276937e-07,6.215381391824465e-07,10.834852468067337,,{},
mne_sample_proxy,knn__k3,spherical_spline,0.2,0,2.471700647295342e-07,8.338854513777968e-07,10.841398591224571,,{},
mne_sample_proxy,knn__k3,rbfi_tps,0.2,0,2.0325517707618268e-07,7.571891730566719e-07,11.690941140762048,,{},
mne_sample_proxy,knn__k3,rbfi_mq,0.2,0,2.1675804962773102e-07,9.206777490914861e-07,11.41160495750457,,{},
mne_sample_proxy,knn__k3,spline_surface,0.2,0,2.3064110136266685e-07,8.899843297969476e-07,11.141990271581534,,{},
mne_sample_proxy,knn__k3,puy,0.2,0,2.392602744327378e-07,8.635682671054545e-07,10.982651338793437,,{},
mne_sample_proxy,knn__k3,bgsrp,0.2,0,2.0912314211249699e-07,5.317672680164361e-07,11.56733634700563,,{},
mne_sample_proxy,knn__k3,sobolev,0.2,0,1.8691158205696502e-07,5.665891314658264e-07,12.05499516806119,,{},
mne_sample_proxy,knn__k3,directed_tv,0.3,0,1.8825067846248656e-07,8.036279684095484e-07,12.02399180179884,,{},
mne_sample_proxy,knn__k3,tv,0.3,0,1.836993000404786e-07,6.401998546282558e-07,12.13028228758982,,{},
mne_sample_proxy,knn__k3,trss,0.3,0,1.8571622611814714e-07,6.85213129851671e-07,12.082858803392739,,{},
mne_sample_proxy,knn__k3,heat_diffusion_temporal,0.3,0,1.50138566952418e-07,6.139449283194256e-07,13.00643463811557,,{},
mne_sample_proxy,knn__k3,graph_time_tikhonov,0.3,0,1.6403472433305188e-07,5.09275110131024e-07,12.621999370586192,,{},
mne_sample_proxy,knn__k3,temporal_laplacian,0.3,0,1.5340295639972174e-07,6.681929613339786e-07,12.913020006440973,,{},
mne_sample_proxy,knn__k3,wavelet_temporal,0.3,0,1.5509474430683334e-07,6.691348136764809e-07,12.865386489883768,,{},
mne_sample_proxy,knn__k3,linear,0.3,0,2.425130580652663e-07,8.14055917955395e-07,10.924006023597714,,{},
mne_sample_proxy,knn__k3,nearest,0.3,0,2.438903992836703e-07,1.0863502663093607e-06,10.899410257269011,,{},
mne_sample_proxy,knn__k3,mean,0.3,0,2.503055022380031e-07,1.095498063062956e-06,10.786653340271773,,{},
mne_sample_proxy,knn__k3,idw,0.3,0,2.1590005659235509e-07,9.179129504720782e-07,11.4288297418485,,{},
mne_sample_proxy,knn__k3,gsmooth,0.3,0,2.3484765085319793e-07,9.964347467949205e-07,11.063495100496983,,{},
mne_sample_proxy,knn__k3,tikhonov,0.3,0,2.74627984284542e-07,1.0001691733198488e-06,10.383909412089485,,{},
mne_sample_proxy,knn__k3,spherical_spline,0.3,0,2.6966730970212434e-07,8.791275415163327e-07,10.463074279867692,,{},
mne_sample_proxy,knn__k3,rbfi_tps,0.3,0,2.623278953004248e-07,8.278908734635721e-07,10.582912556160085,,{},
mne_sample_proxy,knn__k3,rbfi_mq,0.3,0,2.405540384187883e-07,6.135028122732777e-07,10.959230781882901,,{},
mne_sample_proxy,knn__k3,spline_surface,0.3,0,2.6213842803209387e-07,1.0367242674595992e-06,10.586050397007519,,{},
mne_sample_proxy,knn__k3,puy,0.3,0,2.5569130364331697e-07,7.804291995688878e-07,10.694197730311842,,{},
mne_sample_proxy,knn__k3,bgsrp,0.3,0,2.3659102532935282e-07,9.915121167229476e-07,11.03137464014798,,{},
mne_sample_proxy,knn__k3,sobolev,0.3,0,2.488443216649157e-07,6.457743605525265e-07,10.812079953343023,,{},
mne_sample_proxy,knn__k3,directed_tv,0.4,0,1.8150015503767717e-07,6.202986749513247e-07,12.182587298960359,,{},
mne_sample_proxy,knn__k3,tv,0.4,0,1.989140782198494e-07,6.861379040071937e-07,11.784702087360825,,{},
mne_sample_proxy,knn__k3,trss,0.4,0,2.017658198239073e-07,8.386006293227283e-07,11.722881339206342,,{},
mne_sample_proxy,knn__k3,heat_diffusion_temporal,0.4,0,1.9450405179605314e-07,8.670681643186067e-07,11.882070775635134,,{},
