method,mae_mean,mae_std,mae_median
bgsrp,7.781128420021868e-07,2.0229057177446951e-07,8.174649846781881e-07
directed_tv,5.24541844304088e-07,8.828936133993835e-08,5.314067713090098e-07
graph_time_tikhonov,5.642061070655358e-07,4.588148911525251e-08,5.73943103103829e-07
gsmooth,7.171025905657078e-07,1.6046487283323106e-07,6.979130108369932e-07
heat_diffusion_temporal,5.175213148011294e-07,1.1429421664511287e-07,5.35527678869128e-07
idw,7.01145268433017e-07,1.0453740585530947e-07,6.913922605149356e-07
linear,7.27424286815214e-07,1.4366400411595717e-07,7.378952898333554e-07
mean,6.884501970264752e-07,1.3256037134833294e-07,6.977002136405439e-07
nearest,7.434751904464618e-07,1.2606595713239762e-07,7.471837438341898e-07
puy,7.636717676358438e-07,1.4176358399389644e-07,7.867340790559995e-07
rbfi_mq,8.149757852807268e-07,8.719406170369654e-08,8.393037504188815e-07
rbfi_tps,7.427821664880909e-07,1.0059721197208698e-07,7.487101762865337e-07
sobolev,7.997027915402504e-07,1.5025324993947647e-07,7.856838767896193e-07
spherical_spline,7.706950261287131e-07,1.7619253563349962e-07,8.094780733227132e-07
spline_surface,7.181890522716109e-07,8.349965963911374e-08,6.903005000185133e-07
temporal_laplacian,4.848798098144603e-07,4.9879266066695664e-08,4.826944316758625e-07
tikhonov,7.57332509213615e-07,1.3075652658305795e-07,7.581172648287882e-07
trss,4.868769216813926e-07,1.0166284351733873e-07,5.011384646645136e-07
tv,5.005938776872387e-07,8.779331477147702e-08,5.037979709495648e-07
wavelet_temporal,5.070948385904926e-07,9.780451943398275e-08,5.139231635719388e-07
