dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,mean,0.1,0,0.5154111268734165,0.6288106017009094,2.8784620998379773,0.5183745953452301,{},,
synthetic_16ch,knn__k3,nearest,0.1,0,0.6305688150383215,0.758095817269239,2.002675112145545,0.6487915758649597,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,0,0.5646164646805552,0.6640617949819592,2.482464616193383,0.5891662513000403,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,0,0.48717490100770966,0.5946208890468696,3.1231509441911403,0.48860802075496795,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,0,0.4380211417328725,0.549690316246432,3.5850492712884554,0.4433849230779497,{},,
synthetic_16ch,knn__k3,tv,0.1,0,0.43389208444380967,0.5476512740015418,3.626182726947043,0.4425504114857468,{},,
synthetic_16ch,knn__k3,trss,0.1,0,0.4333484878736595,0.515432833567789,3.6316271452376805,0.4520483122495671,{},,
synthetic_16ch,knn__k3,mean,0.1,1,0.4914099044639224,0.6224568472033801,3.085560944755688,0.5046553462453451,{},,
synthetic_16ch,knn__k3,nearest,0.1,1,0.6200242753507673,0.781544610713085,2.0759130655830775,0.6536808749742298,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,1,0.5620094812992329,0.6905454660748025,2.5025635766645693,0.5865789179763574,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,1,0.4861039432192083,0.5797368181191509,3.1327085596345103,0.487583984364148,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,1,0.44474176086510203,0.5313834583298898,3.5189208876069102,0.45169883420481277,{},,
synthetic_16ch,knn__k3,tv,0.1,1,0.4486006138468129,0.5378612451713902,3.481401364807919,0.46088328931017286,{},,
synthetic_16ch,knn__k3,trss,0.1,1,0.4525007381030328,0.5684775732538809,3.44380708051602,0.4675972583272043,{},,
synthetic_16ch,knn__k3,mean,0.1,2,0.5049686471002222,0.6166076337312311,2.967355858687344,0.5306758933452985,{},,
synthetic_16ch,knn__k3,nearest,0.1,2,0.6240979862497124,0.7597619598148073,2.0474721873559614,0.650788703792279,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,2,0.5528410175619872,0.6921166914666439,2.5739974233354324,0.5739788476126807,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,2,0.46878520954403047,0.589275768126984,3.290260990256064,0.47519109993984116,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,2,0.4364438815112628,0.5378133690231099,3.600715904839038,0.4543808268066585,{},,
synthetic_16ch,knn__k3,tv,0.1,2,0.4466008185102665,0.5395334286898836,3.5008048530712306,0.4590390663144547,{},,
synthetic_16ch,knn__k3,trss,0.1,2,0.4496005787794137,0.5521922143848564,3.4717313836208676,0.45938023747842033,{},,
synthetic_16ch,knn__k3,mean,0.1,3,0.5027453267205667,0.6036970134539416,2.9865195770480364,0.5071536316276127,{},,
synthetic_16ch,knn__k3,nearest,0.1,3,0.62101864975722,0.7264663576061732,2.0689535736695435,0.6633583495107981,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,3,0.5641433294431887,0.682181849881269,2.486105426858075,0.5896858645085756,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,3,0.4915127220723526,0.592799310502413,3.084652366217745,0.5107823517792961,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,3,0.4456829866105096,0.5394714671202884,3.5097394424401784,0.45728968366628603,{},,
