dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,mean,0.1,0,0.4942924588943577,0.5983910918751025,3.0601601524247273,0.5217325996405687,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,0,0.5614572278813516,0.6823841688958092,2.5068332293272704,0.5808369257335138,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,0,0.45337167850612636,0.5469227632765856,3.435456131293162,0.45450294899796034,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,0,0.42453259819401096,0.5136609896195181,3.7208895636782415,0.424695780092699,{},,
synthetic_16ch,knn__k3,tv,0.1,0,0.4404849834331185,0.5458757931626977,3.560688925251734,0.4441399866149366,{},,
synthetic_16ch,knn__k3,trss,0.1,0,0.42858140524304894,0.5457672819370775,3.679666755132438,0.4313209512161846,{},,
synthetic_16ch,knn__k3,mean,0.1,1,0.49641281990939784,0.5791365608492571,3.041570113303353,0.5145687926656027,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,1,0.5520584775104479,0.660612659511195,2.580149166269366,0.5676171849456779,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,1,0.46813781831885704,0.5734330109865203,3.2962627315541138,0.47832846396348866,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,1,0.4257345938596746,0.5095769043989292,3.7086105897864536,0.4308096476136825,{},,
synthetic_16ch,knn__k3,tv,0.1,1,0.4303134069977648,0.549181306042671,3.662151226720896,0.4494621572730605,{},,
synthetic_16ch,knn__k3,trss,0.1,1,0.4187067611376751,0.5168086385547371,3.7809002620809973,0.4309174636784125,{},,
synthetic_16ch,knn__k3,mean,0.1,2,0.5029475301513779,0.5901238914221507,2.984773202201953,0.5366436149133275,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,2,0.5513010814464371,0.6610596970477579,2.586111555958376,0.5599756156451735,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,2,0.46067779060805936,0.5637209439837788,3.3660272468769845,0.4843297342299806,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,2,0.44845668569180885,0.5552481731205203,3.482794970413205,0.46883292041203767,{},,
synthetic_16ch,knn__k3,tv,0.1,2,0.44219411420668264,0.5415566546145474,3.543870423636749,0.46195433774944616,{},,
synthetic_16ch,knn__k3,trss,0.1,2,0.42431696405799135,0.5182627810113276,3.723096049292702,0.448678121498252,{},,
synthetic_16ch,knn__k3,mean,0.1,3,0.5067096997161314,0.5999294124889684,2.9524078212474905,0.516879908197,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,3,0.5690343430626654,0.6903233938368696,2.4486152173683013,0.5812368415442409,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,3,0.4545656242441762,0.5456735072318838,3.424034101533154,0.4694012125361861,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,3,0.43466283766475416,0.5218152607793819,3.6184748906292956,0.4628583403119236,{},,
synthetic_16ch,knn__k3,tv,0.1,3,0.4386050052182996,0.544146884610586,3.5792641660122393,0.4535402472239619,{},,
synthetic_16ch,knn__k3,trss,0.1,3,0.43074154528509606,0.5150125508376484,3.657832382481991,0.43521780921872444,{},,
synthetic_16ch,knn__k3,mean,0.1,4,0.5008638430338491,0.6244330137572223,3.0028031855448463,0.5232953595238311,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,4,0.5412517595220058,0.6423874132635305,2.6660067881430076,0.5699975679098199,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,4,0.46240131609773666,0.5889926953368668,3.3498093848543924,0.4837466541072071,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,4,0.43680103622109373,0.5329811496511757,3.597163400262964,0.44082542205137126,{},,
synthetic_16ch,knn__k3,tv,0.1,4,0.429777863272205,0.5396703337333265,3.6675595763443702,0.46134667288434783,{},,
