dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch
synthetic_16ch,knn__k3,mean,0.1,0,0.5052428822380757,0.6108710269322809,2.9649979602357774,0.5102602959905115,{},,
synthetic_16ch,knn__k3,nearest,0.1,0,0.6381712903847737,0.7711955747058149,1.9506273744663307,0.6432521095199439,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,0,0.5554217728118349,0.6710581514677563,2.553770996899546,0.5800502048159718,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,0,0.49823877649297965,0.5795262437761355,3.025624755911116,0.5127520246275757,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,0,0.44059207105035786,0.5416710455181754,3.559633227313865,0.46293897148648205,{},,
synthetic_16ch,knn__k3,tv,0.1,0,0.46838478256472843,0.5607767194550157,3.293972232390633,0.4934490560430418,{},,
synthetic_16ch,knn__k3,trss,0.1,0,0.4673781933709661,0.5861215185573668,3.3033155450081972,0.4747368855968572,{},,
synthetic_16ch,knn__k3,mean,0.1,1,0.5078811168953339,0.6239523395446136,2.9423793401167715,0.5135756736097947,{},,
synthetic_16ch,knn__k3,nearest,0.1,1,0.6373083364671835,0.7816721353712801,1.9565040058736893,0.6722005900315254,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,1,0.5598399764966258,0.6951533490392476,2.519360930930773,0.568185349660996,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,1,0.4789209924337853,0.5816173740254711,3.1973612620905953,0.49557340822766655,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,1,0.44774735705659535,0.5790455015131558,3.489669690047599,0.46630802749253336,{},,
synthetic_16ch,knn__k3,tv,0.1,1,0.468734309788867,0.5553372196457896,3.290732564071084,0.47197618755285914,{},,
synthetic_16ch,knn__k3,trss,0.1,1,0.4547956780917384,0.5512355631287045,3.4218367104981167,0.47190307657468145,{},,
synthetic_16ch,knn__k3,mean,0.1,2,0.5069863938382071,0.5963893055581049,2.9500369581428436,0.5307506610694732,{},,
synthetic_16ch,knn__k3,nearest,0.1,2,0.6104301703676848,0.7756622550154579,2.143640096193139,0.6225529119013867,{},,
synthetic_16ch,knn__k3,tikhonov,0.1,2,0.5502182590146877,0.68149027523645,2.5946500162684876,0.5818427367650052,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.1,2,0.4799957981069805,0.6001767644474315,3.1876256442963156,0.4847854867404106,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,2,0.46000882008446814,0.5687213111820497,3.37233841192935,0.472427466602385,{},,
synthetic_16ch,knn__k3,tv,0.1,2,0.4372071359841818,0.522319637540886,3.593127582189136,0.45459375119911455,{},,
synthetic_16ch,knn__k3,trss,0.1,2,0.43859493988613096,0.5310504028313572,3.5793638312765608,0.47808194413151733,{},,
synthetic_16ch,knn__k3,mean,0.2,0,0.5110051836055995,0.618574012862854,2.915746943852003,0.5117203200405251,{},,
synthetic_16ch,knn__k3,nearest,0.2,0,0.6693643500923014,0.8309357709581906,1.743374216018564,0.7104269922404697,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,0,0.5719733863984224,0.7243516731541813,2.4262417821530993,0.5966532347712932,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,0,0.5176660640604468,0.6318965035527577,2.859503045447564,0.5410215791026227,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,0,0.4826827251732618,0.5872922361977206,3.1633824395268584,0.48813121882589333,{},,
synthetic_16ch,knn__k3,tv,0.2,0,0.47717200812080235,0.5621249058030657,3.2132504084998006,0.49200896002882544,{},,
synthetic_16ch,knn__k3,trss,0.2,0,0.4669088053649448,0.5530944182448647,3.3076793569484977,0.4797954507868906,{},,
synthetic_16ch,knn__k3,mean,0.2,1,0.5323085636019885,0.6473114277813581,2.738365469859772,0.5453071559638936,{},,
synthetic_16ch,knn__k3,nearest,0.2,1,0.6693028475287743,0.7802678345740571,1.7437732729914832,0.6909439980059835,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,1,0.5876023906820579,0.7324588218845619,2.309164459342864,0.6146374794823466,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,1,0.5128316953675153,0.6182629360933902,2.900251412539325,0.5229253922654642,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,1,0.4887487652711933,0.5886217174218135,3.1091432675444084,0.5087820868418833,{},,
synthetic_16ch,knn__k3,tv,0.2,1,0.4583347584643353,0.5593377818260958,3.388172061693762,0.47761294862177045,{},,
synthetic_16ch,knn__k3,trss,0.2,1,0.4524026660871103,0.5393455560816169,3.4447484436563003,0.4639158608235455,{},,
synthetic_16ch,knn__k3,mean,0.2,2,0.5271298569115093,0.6471154823765582,2.780823844203635,0.5593211041383738,{},,
synthetic_16ch,knn__k3,nearest,0.2,2,0.6677079248240204,0.8159291002746153,1.7541346922502863,0.6811297946621546,{},,
synthetic_16ch,knn__k3,tikhonov,0.2,2,0.5962610446306676,0.735610741922626,2.2456356337629364,0.6085088721610363,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.2,2,0.5283664353149358,0.6394568312116629,2.770647789077556,0.5659053246378238,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,2,0.4919535398315691,0.5818767999065743,3.0807591013323252,0.5092127188755713,{},,
synthetic_16ch,knn__k3,tv,0.2,2,0.46154537716878,0.56009396735634,3.35785594560818,0.47898510220248314,{},,
synthetic_16ch,knn__k3,trss,0.2,2,0.46507947744030054,0.5794621919169013,3.324728241750952,0.47454445953877017,{},,
synthetic_16ch,knn__k3,mean,0.3,0,0.5534531313035874,0.6684415267313449,2.56919151077277,0.5776748165377834,{},,
synthetic_16ch,knn__k3,nearest,0.3,0,0.7073872567257402,0.871438058988252,1.5034276807669151,0.7297432992072658,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,0,0.6087874569840704,0.7194132476953246,2.1553430403361813,0.6153504439780753,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,0,0.5478414020552226,0.7023468120107901,2.613451498748431,0.5604233887016764,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,0,0.5073279862270235,0.6246687577885351,2.9471117961211495,0.5535667284702611,{},,
synthetic_16ch,knn__k3,tv,0.3,0,0.5030431901662845,0.5805882522163954,2.983947257868694,0.5039869719086123,{},,
synthetic_16ch,knn__k3,trss,0.3,0,0.4955103205751296,0.5708134589224617,3.0494729552263093,0.5015622945861296,{},,
synthetic_16ch,knn__k3,mean,0.3,1,0.5515941643751086,0.6575870861342588,2.583803371166751,0.5610192990677402,{},,
synthetic_16ch,knn__k3,nearest,0.3,1,0.7106172994045306,0.849101316198286,1.4836422416879615,0.7465365383127373,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,1,0.6265199978815994,0.7539206798665928,2.0306506220941065,0.6615435155587391,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,1,0.5681043206271673,0.7101647862618986,2.4557190775172226,0.5744678736407606,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,1,0.48766678008842335,0.626471791069391,3.1187682758504547,0.4880093946596177,{},,
synthetic_16ch,knn__k3,tv,0.3,1,0.5077578847695166,0.6268878541074869,2.943433238842805,0.5094972554419303,{},,
synthetic_16ch,knn__k3,trss,0.3,1,0.48826770545497206,0.586751717496286,3.1134199946374097,0.5160797389852994,{},,
synthetic_16ch,knn__k3,mean,0.3,2,0.5588697338852077,0.6636527502285878,2.5268940937161695,0.5901315955195165,{},,
synthetic_16ch,knn__k3,nearest,0.3,2,0.7057465781529711,0.8695228824362643,1.5135121887349916,0.735532419672606,{},,
synthetic_16ch,knn__k3,tikhonov,0.3,2,0.6158754779351451,0.7699563117784121,2.1050708769255717,0.6187149842432427,{},,
synthetic_16ch,knn__k3,temporal_laplacian,0.3,2,0.5286965078151576,0.6269900232339758,2.7679355821826936,0.5559696517990272,{},,
synthetic_16ch,knn__k3,graph_time_tikhonov,0.3,2,0.4781930360333462,0.6257373681171907,3.2039675284148594,0.48836933667550014,{},,
synthetic_16ch,knn__k3,tv,0.3,2,0.5055476493008517,0.6044859711330132,2.962379046553658,0.5180628727048222,{},,
synthetic_16ch,knn__k3,trss,0.3,2,0.5009988670948332,0.6056611340873878,3.001632561977931,0.5067676755014053,{},,
synthetic_16ch,knn__k3,mean,0.4,0,0.5732870168210644,0.7205046857541328,2.41627893540835,0.596195188965511,{},,
synthetic_16ch,knn__k3,nearest,0.4,0,0.7242071204434869,0.8506548310870717,1.40137209490635,0.7352490693176876,{},,
