dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,mean,0.1,0,2.0891927083333334e-06,9.382006650523193e-06,15.715258986505807,6.056819904662732e-05,{},,2,0.0019889000031980686
physionet_eegmmidb_real,knn__k3,nearest,0.1,0,2.363932291666667e-06,1.0974941865829328e-05,14.280116281828379,6.958707990067239e-05,{},,2,0.002881200001866091
physionet_eegmmidb_real,knn__k3,tikhonov,0.1,0,6.28668416382143e-06,1.0095510553062917e-05,15.114695890473707,7.399627862123013e-05,"{""alpha"": 0.1}",,2,0.0069667999996454455
physionet_eegmmidb_real,knn__k3,tv,0.1,0,2.0440652782954033e-06,9.198281159389293e-06,15.85395341501902,5.962949767552694e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14755980000336422
physionet_eegmmidb_real,knn__k3,trss,0.1,0,1.3129923561356697e-06,5.9817712168536125e-06,19.38478414534725,4.036985368589947e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.019514199993864167
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,0,1.2560278932897589e-05,1.6362766723986167e-05,11.208386767133371,0.00011952451265090163,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.008686500004841946
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,0,2.4364179606819786e-05,3.122015936593754e-05,4.664274376852505,0.00022629822617744675,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.4668573000017204
physionet_eegmmidb_real,knn__k3,mean,0.1,1,2.049550189393939e-06,8.827531969830222e-06,15.952146395128615,5.5931068574689876e-05,{},,2,0.0021353999982238747
physionet_eegmmidb_real,knn__k3,nearest,0.1,1,2.3187499999999996e-06,1.0531525095318975e-05,14.772311855756408,6.394903918827923e-05,{},,2,0.006175800001074094
physionet_eegmmidb_real,knn__k3,tikhonov,0.1,1,6.267584893287977e-06,9.972239012826622e-06,15.287533366904432,7.125143049278821e-05,"{""alpha"": 0.1}",,2,0.009091499996429775
physionet_eegmmidb_real,knn__k3,tv,0.1,1,2.011292279402672e-06,8.655223276232653e-06,16.10145133023985,5.510926277656159e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.14611169999989215
physionet_eegmmidb_real,knn__k3,trss,0.1,1,1.3150762740596303e-06,5.896277520863824e-06,19.646249388241092,3.889056387801209e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01602160000038566
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,1,1.2537994588191823e-05,1.626314211210004e-05,11.266551263719217,0.00011870868391162924,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.00773769999796059
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,1,2.4370558608252152e-05,3.1212159060112885e-05,4.671625460735558,0.00022637169425847922,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.3015835999976844
physionet_eegmmidb_real,knn__k3,mean,0.1,2,2.096176609848485e-06,9.277391782081692e-06,15.787328039875183,5.419412769740566e-05,{},,2,0.0020048000005772337
physionet_eegmmidb_real,knn__k3,nearest,0.1,2,2.3932291666666665e-06,1.0541176701393444e-05,14.687668050920584,6.631166016682753e-05,{},,2,0.002698799995414447
physionet_eegmmidb_real,knn__k3,tikhonov,0.1,2,6.2802905660468914e-06,1.004184528142354e-05,15.309449339732785,7.2104249601796e-05,"{""alpha"": 0.1}",,2,0.005715100000088569
physionet_eegmmidb_real,knn__k3,tv,0.1,2,2.0571140955189053e-06,9.09987822257421e-06,15.947143385468607,5.372002004065818e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.13841719999618363
physionet_eegmmidb_real,knn__k3,trss,0.1,2,1.2982471124218607e-06,5.8330854892178834e-06,19.770170034428826,4.0264470175016934e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.015645899999071844
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,2,1.2547400538109035e-05,1.6369464606227936e-05,11.217146305368901,0.00011920268102288475,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.008086900001217145
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,2,2.4365374886172457e-05,3.1276140681986795e-05,4.659513457200856,0.00022564292539016092,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.3176596000048448
physionet_eegmmidb_real,knn__k3,mean,0.1,3,1.9872395833333332e-06,8.810995587939464e-06,15.679338522686903,5.8127388741106736e-05,{},,2,0.0019878999955835752
physionet_eegmmidb_real,knn__k3,nearest,0.1,3,2.448307291666667e-06,1.1070142134363045e-05,14.378783853259085,6.969975878689998e-05,{},,2,0.0027794999987236224
physionet_eegmmidb_real,knn__k3,tikhonov,0.1,3,6.297729752695489e-06,1.0123773008508813e-05,15.127508940160949,7.262288829746661e-05,"{""alpha"": 0.1}",,2,0.005733199999667704
physionet_eegmmidb_real,knn__k3,tv,0.1,3,1.9548627381327426e-06,8.650002224443213e-06,15.82469830914791,5.71328414266561e-05,"{""lam"": 0.2, ""n_iter"": 30}",,2,0.138694300003408
physionet_eegmmidb_real,knn__k3,trss,0.1,3,1.3363035741174679e-06,5.944218885530739e-06,19.45239916467595,4.139160936575645e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016918399996939115
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.1,3,1.2533471096183813e-05,1.630921430399407e-05,11.225404503844109,0.00011802028795712461,"{""alpha"": 0.5, ""beta"": 0.1}",,2,0.008003799994185101
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.1,3,2.4270982539158995e-05,3.1084448935724474e-05,4.7056102236758575,0.0002259749918818711,"{""alpha"": 0.5, ""beta"": 0.5}",,2,1.3368614999999409
physionet_eegmmidb_real,knn__k3,mean,0.1,4,2.153338068181818e-06,9.343665955701517e-06,15.353379463166766,5.785967932796195e-05,{},,2,0.0019795999978668988
