dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
iv100hz_mat,knn__k3,mean,0.2,0,42.16100370284582,135.19047772129136,10.557598366900175,727.5560565062191,{},,5,0.0036217759998180554,20.0
iv100hz_mat,knn__k3,nearest,0.2,0,65.28397372279957,187.30317454659814,6.593558408595144,1171.950928232445,{},,5,0.007680732000153512,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,0,101.14629190923897,164.7794553550612,10.075468276304383,911.7176365937403,"{""alpha"": 0.1}",,5,0.012284579000152007,20.0
iv100hz_mat,knn__k3,tv,0.2,0,43.128826047165376,140.82352059062384,10.200268625169086,796.2054186046479,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.2805706769995595,20.0
iv100hz_mat,knn__k3,trss,0.2,0,34.46133370416062,106.15665045354604,11.678856161578302,636.3115737068619,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03494638099982694,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,0,168.0894563627934,221.66682254605837,11.029847271417376,1129.976756853394,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.015724938999937876,20.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,0,203.77712068148077,268.86668993878686,5.699675271948489,1646.8828414625586,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.230408686000374,20.0
iv100hz_mat,knn__k3,mean,0.2,1,41.94669947253659,133.07141023016555,10.662331853292391,764.1710968976112,{},,5,0.0035920320001423534,20.0
iv100hz_mat,knn__k3,nearest,0.2,1,65.60406320126866,188.95278167197895,6.462633357789354,1182.6555111908988,{},,5,0.007600094999816065,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,1,101.5596421373437,164.30438449766874,10.145565029915288,915.338283041584,"{""alpha"": 0.1}",,5,0.012202910999803862,20.0
iv100hz_mat,knn__k3,tv,0.2,1,41.885439805676334,137.31139881676444,10.364797508397935,771.4190456577417,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.28845098900001176,20.0
iv100hz_mat,knn__k3,trss,0.2,1,34.519816178907675,105.7356530281313,11.786443570338038,639.979562676213,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03308296599971072,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,1,168.8172804070665,221.6527998233687,11.050737607614039,1108.6109338626427,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.01581816699990668,20.0
iv100hz_mat,knn__k3,temporal_laplacian,0.2,1,203.83560146866324,269.01006241407225,5.714686942787705,1647.729944912737,"{""alpha"": 0.5, ""beta"": 0.5}",,5,7.2363899969996055,20.0
iv100hz_mat,knn__k3,mean,0.2,2,42.195103390916834,134.94405632561035,10.460116416510685,772.2605484518217,{},,5,0.0036008379997838347,20.0
iv100hz_mat,knn__k3,nearest,0.2,2,67.63395435411536,192.34175721865344,6.155087281664055,1231.2338284689156,{},,5,0.007790688000113732,20.0
iv100hz_mat,knn__k3,tikhonov,0.2,2,102.34019303899932,167.32774010247167,9.936686760867724,959.529404755338,"{""alpha"": 0.1}",,5,0.01237558100001479,20.0
iv100hz_mat,knn__k3,tv,0.2,2,42.544699550498116,139.60182032305303,10.227880167414389,796.7954827565815,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.280049783999857,20.0
iv100hz_mat,knn__k3,trss,0.2,2,35.35504142656034,107.00885103692987,11.491242994286551,667.2286864650508,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.035253949999969336,20.0
iv100hz_mat,knn__k3,graph_time_tikhonov,0.2,2,168.93093367241352,222.16931821236693,10.97126107376286,1134.3999251199914,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.016426460999809933,20.0
