dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
iris_graph_signal,knn__k3,tv,0.2,0,0.12060384836571514,0.35911876673325144,11.077162009615765,1.9750352242400804,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.10115945999996256,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.2309672196520711,0.3874115209669628,9.758726643132622,2.3809335979151136,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005199044999699254,0.05
iris_graph_signal,knn__k3,trss,0.2,0,0.07440603282655113,0.22699587945777133,13.809313510829707,1.3467347940543075,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007355896000262874,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.4031475958413078,0.5266010235324371,6.2048148751825645,3.4507178685722315,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.013376726999922539,0.05
iris_graph_signal,knn__k3,tv,0.2,1,0.13856859156574763,0.4175704140886727,9.96935879392531,2.4877451481377317,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11732259600012185,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.23727573890333947,0.4216676966517313,9.584607415863951,2.558164706136774,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005168658999991749,0.05
iris_graph_signal,knn__k3,trss,0.2,1,0.08190385219835755,0.2368804424080441,13.602956516008248,1.6054656705275598,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0073492739998073375,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.4035693278823936,0.5427201824411936,6.149082277153779,3.354866736718408,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.013120981000156462,0.05
iris_graph_signal,knn__k3,tv,0.2,2,0.14177818120238664,0.41959394568902836,10.102388096555195,2.2628142833543974,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11745417999964047,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,2,0.24002094967583534,0.4247116225698144,9.592616048035984,2.3022231150831733,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005412130999957299,0.05
iris_graph_signal,knn__k3,trss,0.2,2,0.0867575313898649,0.2652702754690579,13.153486450396178,1.4056409615030194,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007329967999794462,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,2,0.4068941960567063,0.5480358036542277,6.142911001418751,3.3962837489457955,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.013066700999843306,0.05
iris_graph_signal,knn__k3,tv,0.2,3,0.10992987039569577,0.3384159090629412,11.19983151717443,2.1871517943918737,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11775065900019399,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,3,0.22039049184662818,0.373221768237963,9.819924932110602,2.433019423666256,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.0051632790000439854,0.05
iris_graph_signal,knn__k3,trss,0.2,3,0.07407569845143978,0.2169685570015886,13.774255178242498,1.4850863960806304,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007308727999770781,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,3,0.40087759569658965,0.5208891231084257,6.211382259096072,3.495037741832293,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.013426188999801525,0.05
iris_graph_signal,knn__k3,tv,0.2,4,0.11591397473719241,0.3682949788411163,11.314740545724725,1.9065266026919012,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11774562099981267,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,4,0.22115224381544257,0.3868301006604447,10.163794431407144,2.1910798673439054,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005226276000030339,0.05
iris_graph_signal,knn__k3,trss,0.2,4,0.07760120354807651,0.2360604544826508,14.153176172876428,1.3648298715912732,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0073256700002275466,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,4,0.39681337562203894,0.5257461045518621,6.375121046255162,3.303683516925516,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.012914709000142466,0.05
iris_graph_signal,knn__k3,tv,0.2,5,0.1034204652243756,0.31249134028036074,11.469448003946136,1.8448636645050094,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11822118300005968,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,5,0.22231925181905385,0.36356567662000217,9.701570276527516,2.266134878817699,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005237406000105693,0.05
iris_graph_signal,knn__k3,trss,0.2,5,0.078646183979074,0.2386790921918936,13.086159130965717,1.6646113419163124,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007368409000264364,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,5,0.40855171958017034,0.5270237560682965,5.965003243788727,3.4704667892720122,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.012894021000192879,0.05
iris_graph_signal,knn__k3,tv,0.2,6,0.12978566338901712,0.3905198529406982,10.742456861606074,2.2241811439541594,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.12066906400013977,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,6,0.2342446877439473,0.4061150271330339,9.788145422484812,2.3924551799375946,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005134104999797273,0.05
iris_graph_signal,knn__k3,trss,0.2,6,0.07528398024263051,0.2344557064885435,14.674608308270686,1.513185078291468,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007285015999968891,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,6,0.40083082882606813,0.5329041886031651,6.2213580494385825,3.300571255908898,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.012881838999874162,0.05
iris_graph_signal,knn__k3,tv,0.2,7,0.13916709480427134,0.4312722954328682,10.165846460664717,2.2363175740147683,"{""lam"": 0.05, ""n_iter"": 30}",,1,0.11748826299981374,0.05
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,7,0.23893075302354372,0.4375391189043413,9.507080064069523,2.3723876870089167,"{""alpha"": 0.05, ""beta"": 0.1}",,1,0.005157257000064419,0.05
iris_graph_signal,knn__k3,trss,0.2,7,0.08293600264775235,0.2430720061433064,13.678226378571958,1.4160803591876268,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007318576999750803,0.05
iris_graph_signal,knn__k3,temporal_laplacian,0.2,7,0.4026743959622353,0.5482387957243927,6.147462520985659,3.3591043255929507,"{""alpha"": 0.05, ""beta"": 0.5}",,1,0.013040603000263218,0.05
iris_graph_signal,knn__k3,tv,0.2,0,0.12362245437260655,0.36418914131634283,10.780767016149937,2.029107748871975,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.11737479200019152,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.2772287556681254,0.4243391781703787,9.03589355573303,2.610781931085993,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005192742999952316,0.1
iris_graph_signal,knn__k3,trss,0.2,0,0.07592587666217766,0.23336576795830763,13.691313726531495,1.3443812755889186,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007352880999860645,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.4549101332568407,0.5728914054235189,5.103051522396299,3.7881841979737025,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.013059337999948184,0.1
iris_graph_signal,knn__k3,tv,0.2,1,0.1378583080100026,0.4162445257960518,10.002867444368011,2.4805312895324017,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.11817758200004391,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.28153969494233116,0.4549237013191595,8.915344398410951,2.7622691454624477,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005224141999860876,0.1
iris_graph_signal,knn__k3,trss,0.2,1,0.08330179767083762,0.24558937080481258,13.405705133762016,1.6991223750218727,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007663197000056243,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.4566138752768309,0.5849761249785217,5.045956618416932,3.744388396629067,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.01325302700024622,0.1
iris_graph_signal,knn__k3,tv,0.2,2,0.1418543263270652,0.4198986605182735,10.079688419797494,2.268182411750481,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.11771027499980846,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,2,0.2838045306394133,0.45686218948653273,8.92512927534538,2.5430901826487107,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.0051212309999755234,0.1
iris_graph_signal,knn__k3,trss,0.2,2,0.09143273278322674,0.2738295580306943,12.980987226648557,1.493822586113827,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007364773000062996,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,2,0.4603557420679687,0.5903290624692662,5.019202845356498,3.84310824639367,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.013205098000071303,0.1
iris_graph_signal,knn__k3,tv,0.2,3,0.11155663423461767,0.34080471259565354,11.03507811388737,2.2181619276175772,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.1171589519999543,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,3,0.2678212888992132,0.4121746408299478,9.085053101330281,2.669349200312781,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005103948999931163,0.1
iris_graph_signal,knn__k3,trss,0.2,3,0.07470608855203482,0.221377155492893,13.656447981544053,1.5268433736170164,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007445423000262963,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,3,0.4549066429922663,0.5698890797009002,5.105982255817213,3.8615624857830744,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.013207172000420542,0.1
iris_graph_signal,knn__k3,tv,0.2,4,0.11636337493139219,0.3686624552897662,11.221935123673312,1.925179296322547,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.1171968629996627,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,4,0.2680888263358309,0.4246543765594245,9.38382968435381,2.4322708910780135,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005078621999928146,0.1
iris_graph_signal,knn__k3,trss,0.2,4,0.07548472755372916,0.23786420099786648,14.127256754439923,1.376058450170219,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007293140000001586,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,4,0.45151560551724446,0.5720395938127629,5.187238992861421,3.703248499980122,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.013088652000078582,0.1
iris_graph_signal,knn__k3,tv,0.2,5,0.10877841974891499,0.3219923040736732,10.99840728309405,1.9130795776629501,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.11897071600014897,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,5,0.27122295389346324,0.40302334281352015,8.955457344769378,2.5280124894314686,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005147410000063246,0.1
iris_graph_signal,knn__k3,trss,0.2,5,0.07961805155948626,0.24124483090866528,12.993272029409031,1.6429032003627433,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007271730999946158,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,5,0.4620114727015379,0.5795254376938942,4.902087643733184,3.888940040788897,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.01272950500015213,0.1
iris_graph_signal,knn__k3,tv,0.2,6,0.13184608720409297,0.3938288307478027,10.499785463489298,2.2603154936819942,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.12090443099987169,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,6,0.2796876340276145,0.4408881446361354,9.086917368023666,2.6069828273287503,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005097607000152493,0.1
iris_graph_signal,knn__k3,trss,0.2,6,0.07903506619415687,0.24622604968572612,14.328878614166706,1.5955816269290026,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007379959999980201,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,6,0.45440644117934365,0.5757913898078809,5.1277242093573445,3.668066408176712,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.013020586000038747,0.1
iris_graph_signal,knn__k3,tv,0.2,7,0.1382134330395678,0.4291937977846914,10.20125831673006,2.230380355963954,"{""lam"": 0.1, ""n_iter"": 30}",,1,0.12419643600014751,0.1
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,7,0.2831553298829474,0.4683481355485321,8.874064329134217,2.623380354491256,"{""alpha"": 0.1, ""beta"": 0.1}",,1,0.005028658999890467,0.1
iris_graph_signal,knn__k3,trss,0.2,7,0.08755077015805982,0.26108642073240407,13.32369046844407,1.4409395217758916,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0071928240004126565,0.1
iris_graph_signal,knn__k3,temporal_laplacian,0.2,7,0.45498342475715353,0.5876927578500144,5.0513757050574135,3.8096514178612892,"{""alpha"": 0.1, ""beta"": 0.5}",,1,0.012960113000190177,0.1
iris_graph_signal,knn__k3,tv,0.2,0,0.12577887287763917,0.36772359290378115,10.569968387195305,2.066351856384199,"{""lam"": 0.2, ""n_iter"": 30}",,1,0.11774050099984379,0.2
iris_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.3384222777640186,0.483864895590212,7.972334568128747,2.979638385896693,"{""alpha"": 0.2, ""beta"": 0.1}",,1,0.005239609999989625,0.2
iris_graph_signal,knn__k3,trss,0.2,0,0.0816528613338468,0.25144066758971345,13.236311763951027,1.3996875760590695,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.0072995020000234945,0.2
