dataset,graph,method,missing_ratio,mae_mean,mae_ci_lo,mae_ci_hi,mae_n,rmse_mean,rmse_ci_lo,rmse_ci_hi,rmse_n,dtw_mean,dtw_ci_lo,dtw_ci_hi,dtw_n,snr_mean,snr_ci_lo,snr_ci_hi,snr_n
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.2,2.4689467748006183e-06,2.4465986887613927e-06,2.491294860839844e-06,2,1.2174935721063388e-05,1.1469136690091002e-05,1.2880734752035774e-05,2,5.140505844112165e-05,4.948766859793341e-05,5.332244828430989e-05,2,13.862845689417014,13.786817032880576,13.938874345953453,2
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.4,5.674021826850042e-06,5.62990019056532e-06,5.718143463134765e-06,2,1.8787612216722452e-05,1.858783899655728e-05,1.8987385436887623e-05,2,7.39752297685961e-05,7.362326967955035e-05,7.432718985764184e-05,2,9.880878684229007,9.75443339494558,10.007323973512433,2
bci_iv2a_real_s1,gaussian__sigma1.0,tikhonov,0.2,1.0753685652040968e-05,1.071804360782399e-05,1.0789327696257946e-05,2,2.2225754597841567e-05,2.202891838987177e-05,2.242259080581136e-05,2,9.31603287703016e-05,9.263168104887272e-05,9.36889764917305e-05,2,8.663137539127668,8.600046606393525,8.726228471861809,2
bci_iv2a_real_s1,gaussian__sigma1.0,tikhonov,0.4,1.1957528930863522e-05,1.191336361255521e-05,1.2001694249171835e-05,2,2.4575086352518805e-05,2.4496350361579217e-05,2.4653822343458397e-05,2,0.00010106348237035,0.0001010389164745,0.0001010880482662,2,7.476117391238213,7.376999371448579,7.575235411027847,2
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.2,1.7136686637113388e-06,1.6815624440973472e-06,1.7457748833253305e-06,2,8.369024524653024e-06,7.689118871753787e-06,9.04893017755226e-06,2,3.604407432722671e-05,3.434335828701756e-05,3.7744790367435856e-05,2,16.941452317354464,16.914492992693017,16.968411642015912,2
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.4,4.353418019024322e-06,4.313205393994905e-06,4.393630644053739e-06,2,1.4312315403591024e-05,1.4136883358659368e-05,1.448774744852268e-05,2,6.040823477430256e-05,5.984702511559651e-05,6.0969444433008616e-05,2,12.002422085609808,11.845302830856989,12.159541340362628,2
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.2,2.4689466721536222e-06,2.4465985814987684e-06,2.491294762808476e-06,2,1.2174935587231263e-05,1.146913653812702e-05,1.2880734636335506e-05,2,5.14050565407914e-05,4.948766664103669e-05,5.332244644054611e-05,2,13.862846348473791,13.786817718219568,13.938874978728016,2
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.4,5.674021650903271e-06,5.629900020429618e-06,5.718143281376924e-06,2,1.878761206952993e-05,1.858783883706917e-05,1.8987385301990688e-05,2,7.39752275491312e-05,7.362326743561491e-05,7.432718766264749e-05,2,9.88087918856146,9.754433923162209,10.007324453960711,2
bci_iv2a_real_s1,knn__k3,mean,0.2,2.4689467748006183e-06,2.4465986887613927e-06,2.491294860839844e-06,2,1.2174935721063388e-05,1.1469136690091002e-05,1.2880734752035774e-05,2,5.140505844112165e-05,4.948766859793341e-05,5.332244828430989e-05,2,13.862845689417014,13.786817032880576,13.938874345953453,2
bci_iv2a_real_s1,knn__k3,mean,0.4,5.674021826850042e-06,5.62990019056532e-06,5.718143463134765e-06,2,1.8787612216722452e-05,1.858783899655728e-05,1.8987385436887623e-05,2,7.39752297685961e-05,7.362326967955035e-05,7.432718985764184e-05,2,9.880878684229007,9.75443339494558,10.007323973512433,2
bci_iv2a_real_s1,knn__k3,tikhonov,0.2,5.444766964952991e-06,5.437583550266037e-06,5.451950379639944e-06,2,1.3637772592703875e-05,1.3039550461601522e-05,1.4235994723806227e-05,2,5.5991000485354446e-05,5.464920690081195e-05,5.733279406989695e-05,2,12.721472833618655,12.704646301576892,12.73829936566042,2
bci_iv2a_real_s1,knn__k3,tikhonov,0.4,7.808495300991431e-06,7.78373070114278e-06,7.833259900840085e-06,2,1.9373044375353638e-05,1.9162743725391785e-05,1.958334502531549e-05,2,7.352077965886423e-05,7.336302133241371e-05,7.367853798531477e-05,2,9.723208962791194,9.656319328803612,9.790098596778774,2
bci_iv2a_real_s1,knn__k3,trss,0.2,1.7013233618170159e-06,1.6619498442885525e-06,1.740696879345479e-06,2,8.18534962915162e-06,7.5013402645006465e-06,8.869358993802592e-06,2,3.561411336241609e-05,3.389198326785659e-05,3.7336243456975584e-05,2,16.99694284432571,16.90861227609056,17.085273412560852,2
bci_iv2a_real_s1,knn__k3,trss,0.4,4.253041601282743e-06,4.24852887154627e-06,4.257554331019218e-06,2,1.4060911882743866e-05,1.3813731984878324e-05,1.430809178060941e-05,2,5.8427241064316554e-05,5.769833440914663e-05,5.915614771948648e-05,2,12.27848046440088,12.261604166509352,12.295356762292409,2
bci_iv2a_real_s1,knn__k3,tv,0.2,2.4687519160674853e-06,2.446397920558573e-06,2.491105911576398e-06,2,1.2174517478041365e-05,1.1468691242719928e-05,1.2880343713362802e-05,2,5.1401072814246025e-05,4.948324028905861e-05,5.331890533943345e-05,2,13.864069809468411,13.788131102478566,13.940008516458258,2
bci_iv2a_real_s1,knn__k3,tv,0.4,5.6734973804201955e-06,5.629425408998149e-06,5.717569351842242e-06,2,1.8786975394429626e-05,1.8587105988477387e-05,1.8986844800381865e-05,2,7.39681270026109e-05,7.361480247950295e-05,7.432145152571884e-05,2,9.882270529452633,9.755978313300474,10.00856274560479,2
bci_iv2a_real_s2,gaussian__sigma1.0,mean,0.2,7.094821929931641e-07,7.004127502441406e-07,7.185516357421875e-07,2,2.913836913082918e-06,2.88900430239716e-06,2.938669523768676e-06,2,1.8818145398582953e-05,1.8372174873268125e-05,1.9264115923897777e-05,2,22.306283673005026,22.261644871695754,22.350922474314302,2
bci_iv2a_real_s2,gaussian__sigma1.0,mean,0.4,1.5901222229003905e-06,1.575760311550564e-06,1.604484134250217e-06,2,4.141727710945646e-06,4.040828042367609e-06,4.242627379523683e-06,2,2.7274354885604417e-05,2.631732372753082e-05,2.8231386043678013e-05,2,18.506302204807394,18.38394419562852,18.62866021398627,2
bci_iv2a_real_s2,gaussian__sigma1.0,tikhonov,0.2,3.0470155828139366e-06,3.04558136883904e-06,3.048449796788833e-06,2,5.096312390817605e-06,5.0900150317285495e-06,5.1026097499066604e-06,2,3.3931398795888643e-05,3.3692408393412114e-05,3.4170389198365166e-05,2,17.312521965984757,17.312124455600753,17.312919476368762,2
bci_iv2a_real_s2,gaussian__sigma1.0,tikhonov,0.4,3.3596471898696e-06,3.348502489476422e-06,3.370791890262778e-06,2,5.542217224142687e-06,5.50144439731178e-06,5.582990050973594e-06,2,3.7367961644676145e-05,3.736078988123604e-05,3.737513340811624e-05,2,16.252120790479374,16.207373394292233,16.29686818666652,2
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.2,5.189835395589195e-07,5.175902934232512e-07,5.203767856945879e-07,2,2.097262980030055e-06,2.049194823120236e-06,2.145331136939874e-06,2,1.4051714572475225e-05,1.3945323276086548e-05,1.41581058688639e-05,2,24.935938291273043,24.929182358584317,24.94269422396177,2
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.4,1.2623297914016727e-06,1.2476340702819824e-06,1.2770255125213628e-06,2,3.2529912437241917e-06,3.1297493383370203e-06,3.3762331491113635e-06,2,2.2173455435444565e-05,2.140750330551138e-05,2.2939407565377747e-05,2,20.39978876762719,20.24520505268633,20.55437248256805,2
bci_iv2a_real_s2,gaussian__sigma1.0,tv,0.2,7.094821925844775e-07,7.004127498412052e-07,7.185516353277499e-07,2,2.913836911747369e-06,2.889004301077926e-06,2.9386695224168123e-06,2,1.881814538659498e-05,1.837217486053484e-05,1.926411591265512e-05,2,22.30628367936681,22.261644878084457,22.350922480649164,2
bci_iv2a_real_s2,gaussian__sigma1.0,tv,0.4,1.590122222057882e-06,1.5757603106992812e-06,1.6044841334164827e-06,2,4.141727709268924e-06,4.040828040611754e-06,4.242627377926094e-06,2,2.727435486928407e-05,2.631732370863571e-05,2.823138602993243e-05,2,18.50630221121099,18.38394420154916,18.62866022087282,2
bci_iv2a_real_s2,knn__k3,mean,0.2,7.094821929931641e-07,7.004127502441406e-07,7.185516357421875e-07,2,2.913836913082918e-06,2.88900430239716e-06,2.938669523768676e-06,2,1.8818145398582953e-05,1.8372174873268125e-05,1.9264115923897777e-05,2,22.306283673005026,22.261644871695754,22.350922474314302,2
bci_iv2a_real_s2,knn__k3,mean,0.4,1.5901222229003905e-06,1.575760311550564e-06,1.604484134250217e-06,2,4.141727710945646e-06,4.040828042367609e-06,4.242627379523683e-06,2,2.7274354885604417e-05,2.631732372753082e-05,2.8231386043678013e-05,2,18.506302204807394,18.38394419562852,18.62866021398627,2
bci_iv2a_real_s2,knn__k3,tikhonov,0.2,1.666003414590662e-06,1.658075171793879e-06,1.6739316573874453e-06,2,3.362281553890718e-06,3.34187840149285e-06,3.382684706288586e-06,2,2.251751149079909e-05,2.2117183593929896e-05,2.291783938766829e-05,2,20.65453331526188,20.61219116169912,20.69687546882464,2
bci_iv2a_real_s2,knn__k3,tikhonov,0.4,2.3037911708031924e-06,2.283521955823225e-06,2.32406038578316e-06,2,4.3903902322859605e-06,4.28284438602934e-06,4.497936078542582e-06,2,2.9604945319808194e-05,2.8944030633730405e-05,3.0265860005885983e-05,2,17.914697079243247,17.743954016980652,18.085440141505845,2
bci_iv2a_real_s2,knn__k3,trss,0.2,6.058006854639058e-07,5.974913729252581e-07,6.141099980025534e-07,2,2.3016794053289936e-06,2.2740206933421778e-06,2.329338117315809e-06,2,1.6084183778934152e-05,1.5706747311086943e-05,1.6461620246781365e-05,2,23.38667614884686,23.237698895332827,23.535653402360897,2
bci_iv2a_real_s2,knn__k3,trss,0.4,1.3944221101425227e-06,1.364681879511572e-06,1.4241623407734737e-06,2,3.4729719566846207e-06,3.327516872616978e-06,3.6184270407522633e-06,2,2.4634430050528976e-05,2.400976490232929e-05,2.525909519872866e-05,2,19.387390627842436,19.157641844398317,19.61713941128656,2
