dataset,graph,missing_ratio,method_a,method_b,p_mae
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,mean,tikhonov,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,mean,tv,0.619
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,mean,trss,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,tikhonov,tv,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,tikhonov,trss,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.2,tv,trss,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,mean,tikhonov,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,mean,tv,0.646
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,mean,trss,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,tikhonov,tv,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,tikhonov,trss,0.0
bci_iv2a_real_s1,gaussian__sigma1.0,0.4,tv,trss,0.0
bci_iv2a_real_s1,knn__k3,0.2,mean,tikhonov,0.0
bci_iv2a_real_s1,knn__k3,0.2,mean,tv,0.645
bci_iv2a_real_s1,knn__k3,0.2,mean,trss,0.0
bci_iv2a_real_s1,knn__k3,0.2,tikhonov,tv,0.0
bci_iv2a_real_s1,knn__k3,0.2,tikhonov,trss,0.0
bci_iv2a_real_s1,knn__k3,0.2,tv,trss,0.0
bci_iv2a_real_s1,knn__k3,0.4,mean,tikhonov,0.0
bci_iv2a_real_s1,knn__k3,0.4,mean,tv,0.64
bci_iv2a_real_s1,knn__k3,0.4,mean,trss,0.0
bci_iv2a_real_s1,knn__k3,0.4,tikhonov,tv,0.0
bci_iv2a_real_s1,knn__k3,0.4,tikhonov,trss,0.0
bci_iv2a_real_s1,knn__k3,0.4,tv,trss,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,mean,tikhonov,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,mean,tv,0.618
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,mean,trss,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,tikhonov,tv,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,tikhonov,trss,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.2,tv,trss,0.0
bci_iv2a_real_s2,gaussian__sigma1.0,0.4,mean,tikhonov,0.0
