dataset,graph,method,mean,median,std,count
bci_iv2a_real_s1,gaussian__sigma1.0,mean,0.0020791999995708,0.0019447999984549,0.00028688293724222575,4
bci_iv2a_real_s1,gaussian__sigma1.0,tikhonov,0.00604525000017015,0.006076950001443,0.00017361633146428855,4
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.018650250000064227,0.0185764000016206,0.0006918172094227044,4
bci_iv2a_real_s1,gaussian__sigma1.0,tv,0.19423962499968184,0.1942252000008011,0.00336211002824825,4
bci_iv2a_real_s1,knn__k3,mean,0.0020269499982532,0.0019999499963887,0.00010264867261621297,4
bci_iv2a_real_s1,knn__k3,tikhonov,0.00623222500144035,0.0061405500018736,0.0006021552874311378,4
bci_iv2a_real_s1,knn__k3,trss,0.0189047999992908,0.018876849997468498,0.0009936835127954153,4
bci_iv2a_real_s1,knn__k3,tv,0.17670419999740258,0.1752812499980791,0.024986472747006452,4
bci_iv2a_real_s2,gaussian__sigma1.0,mean,0.0024410000023635248,0.0019496500026433999,0.0010115999465119287,4
bci_iv2a_real_s2,gaussian__sigma1.0,tikhonov,0.005886625000130075,0.00587480000103815,0.00011713107397203244,4
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.018964899998536552,0.018881749998399748,0.0009831946767028643,4
bci_iv2a_real_s2,gaussian__sigma1.0,tv,0.20595462500023132,0.19571094999628255,0.021935696331143405,4
bci_iv2a_real_s2,knn__k3,mean,0.002011374999710775,0.00197194999782365,0.00012386316033879282,4
bci_iv2a_real_s2,knn__k3,tikhonov,0.00603677500112095,0.0060042000004613995,0.00019881762550945817,4
bci_iv2a_real_s2,knn__k3,trss,0.017954250000911925,0.01796435000142075,0.0011453069997267521,4
bci_iv2a_real_s2,knn__k3,tv,0.15862827499950066,0.1575802999977895,0.007774765778827089,4
iris_graph_signal,gaussian__sigma1.0,mean,0.000985824999588625,0.00093370000104185,0.00013956265784752,4
iris_graph_signal,gaussian__sigma1.0,tikhonov,0.002406550000159725,0.0024064499993982497,0.00016818629449465497,4
iris_graph_signal,gaussian__sigma1.0,trss,0.0027002249989891,0.00270269999964505,7.254292472632069e-05,4
iris_graph_signal,gaussian__sigma1.0,tv,0.05731254999955125,0.0564207499992335,0.0033630590167243544,4
iris_graph_signal,knn__k3,mean,0.0010207250033999501,0.00093595000362255,0.00020025201572084075,4
iris_graph_signal,knn__k3,tikhonov,0.0023913749973871,0.0023098999990906503,0.0001828095802166713,4
iris_graph_signal,knn__k3,trss,0.0027363750014046248,0.00270285000078725,0.0001253752094943698,4
iris_graph_signal,knn__k3,tv,0.054971624998870476,0.053884199998719795,0.0031267270897008224,4
iv100hz_mat,gaussian__sigma1.0,mean,0.0023483000004489,0.00233365000167395,0.00022682420768522463,4
iv100hz_mat,gaussian__sigma1.0,tikhonov,0.00592207500085345,0.00593624999964955,0.000211808819894626,4
iv100hz_mat,gaussian__sigma1.0,trss,0.019051125000260023,0.018788500001392053,0.0013471947247221147,4
iv100hz_mat,gaussian__sigma1.0,tv,0.192892800001573,0.1920399500013445,0.003958273416674607,4
iv100hz_mat,knn__k3,mean,0.0022912250005901248,0.0023591499993926,0.0002667056978693948,4
iv100hz_mat,knn__k3,tikhonov,0.00624740000057495,0.006208300001162549,0.0004169346697739488,4
iv100hz_mat,knn__k3,trss,0.018818400001691726,0.0186945000023115,0.001412683730926355,4
iv100hz_mat,knn__k3,tv,0.14955452499998498,0.14780149999933195,0.005774766150309862,4
movielens_graph_signal,gaussian__sigma1.0,mean,0.002288100000441725,0.00199110000176,0.0006338503958659901,4
movielens_graph_signal,gaussian__sigma1.0,tikhonov,0.00854882500243545,0.0085791500023333,0.0015279461445722048,4
movielens_graph_signal,gaussian__sigma1.0,trss,0.0204710500001965,0.02042950000031845,0.0010984797291638934,4
movielens_graph_signal,gaussian__sigma1.0,tv,0.24257279999983436,0.2270408999975188,0.044095555519531836,4
movielens_graph_signal,knn__k3,mean,0.00223987500066865,0.00220930000068615,0.0003230411456902641,4
movielens_graph_signal,knn__k3,tikhonov,0.006673975000012375,0.0066281500003242,0.0004550285133982344,4
movielens_graph_signal,knn__k3,trss,0.019723725001313076,0.0188647000031778,0.002576827581604481,4
movielens_graph_signal,knn__k3,tv,0.17620474999785068,0.16134739999688455,0.03782117221764133,4
physionet_eegmmidb_real,gaussian__sigma1.0,mean,0.0020488499994826,0.0019785500007856,0.00018313125678503798,4
physionet_eegmmidb_real,gaussian__sigma1.0,tikhonov,0.00626052500047075,0.006332700002531,0.00025443848586345294,4
physionet_eegmmidb_real,gaussian__sigma1.0,trss,0.018411024999295426,0.018351850001636152,0.0005350126487009345,4
physionet_eegmmidb_real,gaussian__sigma1.0,tv,0.19805447500039008,0.19996260000334584,0.004870569057742767,4
physionet_eegmmidb_real,knn__k3,mean,0.0027093999997305,0.0024947999991127,0.0008143784914015885,4
physionet_eegmmidb_real,knn__k3,tikhonov,0.0063399750015377745,0.0062750500001129,0.0002719973332524231,4
physionet_eegmmidb_real,knn__k3,trss,0.018937225002446174,0.0187568000037572,0.0007607432706881282,4
physionet_eegmmidb_real,knn__k3,tv,0.155900149997251,0.15621009999813396,0.008394273452059453,4
