id,status,count_paths,has_run_metadata,has_significance,pdf_count,png_count,has_any_figure
it01,NO-GO,28,1,1,12,0,1
it02,GO,14,1,1,6,0,1
it03,GO,15,1,1,6,0,1
it04,NO-GO,14,1,1,6,0,1
it05,GO,28,1,1,12,0,1
it06,GO,28,1,1,12,0,1
it07,GO,28,1,1,12,0,1
it08,GO,14,1,1,6,0,1
it09,GO,14,1,1,6,0,1
it10,GO,131,1,1,61,0,1
it11,GO,185,1,1,116,0,1
it12,GO,190,1,1,116,0,1
it13,GO,33,1,1,17,0,1
it14,GO,15,1,1,6,0,1
it15,GO,28,1,1,12,0,1
it16,GO,28,1,1,12,0,1
it17,GO,14,1,1,6,0,1
it18,GO,14,1,1,6,0,1
it19,GO,14,1,1,6,0,1
it20,GO,14,1,1,6,0,1
it21,GO,14,1,1,6,0,1
it22,GO,28,1,1,12,0,1
it23,GO,28,1,1,12,0,1
it24,GO,14,1,1,6,0,1
it25,GO,14,1,1,6,0,1
it26,GO,14,1,1,6,0,1
it27,GO,14,1,1,6,0,1
it28,GO,14,1,1,6,0,1
it29,GO,14,1,1,6,0,1
it30,GO,14,1,1,6,0,1
it31,GO,14,1,1,6,0,1
it32,GO,14,1,1,6,0,1
it33,GO,14,1,1,6,0,1
it34,NO-GO,14,1,1,6,0,1
it35,GO,14,1,1,6,0,1
it36,GO,14,1,1,6,0,1
it37,GO,14,1,1,6,0,1
it38,GO,14,1,1,6,0,1
it39,GO,14,1,1,6,0,1
it40,GO,14,1,1,6,0,1
it41,GO,8,1,1,0,0,0
it42,GO,8,1,1,0,0,0
it43,GO,8,1,1,0,0,0
it44,GO,8,1,1,0,0,0
it45,GO,8,1,1,0,0,0
it46,GO,8,1,1,0,0,0
it47,GO,8,1,1,0,0,0
it48,GO,8,1,1,0,0,0
it49,GO,8,1,1,0,0,0
it50,NO-GO,5,1,1,0,0,0
it51,GO,8,1,1,0,0,0
it52,GO,8,1,1,0,0,0
it53,GO,8,1,1,0,0,0
it54,GO,8,1,1,0,0,0
it55,GO,8,1,1,0,0,0
it56,GO,8,1,1,0,0,0
it57,GO,8,1,1,0,0,0
it58,GO,8,1,1,0,0,0
it59,GO,8,1,1,0,0,0
it60,GO,8,1,1,0,0,0
it61,GO,6,1,1,0,0,0
it62,GO,6,1,1,0,0,0
it63,GO,6,1,1,0,0,0
it64,GO,6,1,1,0,0,0
it65,GO,6,1,1,0,0,0
it66,GO,6,1,1,0,0,0
it67,GO,6,1,1,0,0,0
it68,GO,6,1,1,0,0,0
it69,GO,6,1,1,0,0,0
it70,GO,6,1,1,0,0,0
it71,NO-GO,6,1,1,0,0,0
it72,NO-GO,6,1,1,0,0,0
it73,GO,6,1,1,0,0,0
it74,GO,6,1,1,0,0,0
it75,NO-GO,6,1,1,0,0,0
it76,NO-GO,6,1,1,0,0,0
it77,NO-GO,6,1,1,0,0,0
it78,NO-GO,6,1,1,0,0,0
it79,NO-GO,6,1,1,0,0,0
it80,NO-GO,6,1,1,0,0,0
it81,NO-GO,8,1,1,0,0,0
it82,NO-GO,6,1,1,0,0,0
it83,GO,6,1,1,0,0,0
it84,GO,6,1,1,0,0,0
it85,GO,6,1,1,0,0,0
it86,GO,6,1,1,0,0,0
it87,GO,6,1,1,0,0,0
it88,GO,6,1,1,0,0,0
it89,GO,6,1,1,0,0,0
it90,GO,6,1,1,0,0,0
it91,GO,6,1,1,0,0,0
it92,GO,6,1,1,0,0,0
it93,GO,6,1,1,0,0,0
it94,GO,6,1,1,0,0,0
it95,GO,6,1,1,0,0,0
it96,GO,6,1,1,0,0,0
it97,GO,6,1,1,0,0,0
it98,GO,6,1,1,0,0,0
it99,GO,6,1,1,0,0,0
it100,GO,6,1,1,0,0,0
it101,GO,7,1,1,0,0,0
it102,GO,6,1,1,0,0,0
it103,GO,6,1,1,0,0,0
it104,GO,6,1,1,0,0,0
it105,NO-GO,18,1,1,11,0,1
it106,NO-GO,17,1,1,11,0,1
it107,NO-GO,17,1,1,11,0,1
it108,NO-GO,17,1,1,11,0,1
it109,NO-GO,17,1,1,11,0,1
it110,NO-GO,17,1,1,11,0,1
it111,NO-GO,17,1,1,11,0,1
it112,NO-GO,17,1,1,11,0,1
it113,NO-GO,17,1,1,11,0,1
it114,NO-GO,17,1,1,11,0,1
it115,NO-GO,17,1,1,11,0,1
it116,NO-GO,17,1,1,11,0,1
it117,NO-GO,17,1,1,11,0,1
it118,NO-GO,17,1,1,11,0,1
it119,NO-GO,17,1,1,11,0,1
it120,NO-GO,17,1,1,11,0,1
it121,NO-GO,19,1,1,11,0,1
it122,NO-GO,18,1,1,11,0,1
it123,NO-GO,17,1,1,11,0,1
it124,GO,17,1,1,11,0,1
it125,GO,17,1,1,11,0,1
it126,NO-GO,18,1,1,11,0,1
it127,NO-GO,17,1,1,11,0,1
it128,NO-GO,17,1,1,11,0,1
it129,NO-GO,19,1,1,11,0,1
it130,NO-GO,19,1,1,11,0,1
