id,count_paths,has_run_metadata,has_significance,figure_pdfs,figure_pngs
it01_figures,6,0,0,6,0
it01_nogo_report,1,0,0,0,0
it01_qa_report,1,0,0,0,0
it01_raw,1,0,0,0,0
it01_retry_figures,6,0,0,6,0
it01_retry_nogo_report,1,0,0,0,0
it01_retry_qa_report,1,0,0,0,0
it01_retry_raw,1,0,0,0,0
it01_retry_run_metadata,1,1,0,0,0
it01_retry_significance,1,0,1,0,0
it01_retry_stats,1,0,0,0,0
it01_retry_tables,2,0,1,0,0
it01_run_metadata,1,1,0,0,0
it01_significance,1,0,1,0,0
it01_stats,1,0,0,0,0
it01_tables,2,0,1,0,0
it02_figures,6,0,0,6,0
it02_integration_log,1,0,0,0,0
it02_qa_report,1,0,0,0,0
it02_raw,1,0,0,0,0
it02_run_metadata,1,1,0,0,0
it02_significance,1,0,1,0,0
it02_stats,1,0,0,0,0
it02_tables,2,0,1,0,0
it03_synthetic_beta_figures,6,0,0,6,0
it03_synthetic_beta_integration_log,1,0,0,0,0
it03_synthetic_beta_nogo_report,1,0,0,0,0
it03_synthetic_beta_qa_report,1,0,0,0,0
it03_synthetic_beta_raw,1,0,0,0,0
it03_synthetic_beta_run_metadata,1,1,0,0,0
it03_synthetic_beta_significance,1,0,1,0,0
it03_synthetic_beta_stats,1,0,0,0,0
it03_synthetic_beta_tables,2,0,1,0,0
it04_physionet_figures,6,0,0,6,0
it04_physionet_nogo_report,1,0,0,0,0
it04_physionet_qa_report,1,0,0,0,0
it04_physionet_raw,1,0,0,0,0
it04_physionet_run_metadata,1,1,0,0,0
it04_physionet_significance,1,0,1,0,0
it04_physionet_stats,1,0,0,0,0
it04_physionet_tables,2,0,1,0,0
it05_all_datasets_figures,6,0,0,6,0
it05_all_datasets_nogo_report,1,0,0,0,0
it05_all_datasets_qa_report,1,0,0,0,0
it05_all_datasets_raw,1,0,0,0,0
it05_all_datasets_run_metadata,1,1,0,0,0
it05_all_datasets_significance,1,0,1,0,0
it05_all_datasets_stats,1,0,0,0,0
it05_all_datasets_tables,2,0,1,0,0
it05b_synthetic_three_figures,6,0,0,6,0
it05b_synthetic_three_integration_log,1,0,0,0,0
it05b_synthetic_three_qa_report,1,0,0,0,0
it05b_synthetic_three_raw,1,0,0,0,0
it05b_synthetic_three_run_metadata,1,1,0,0,0
it05b_synthetic_three_significance,1,0,1,0,0
it05b_synthetic_three_stats,1,0,0,0,0
it05b_synthetic_three_tables,2,0,1,0,0
it06_tv_focus_kalofolias_nnk_figures,6,0,0,6,0
it06_tv_focus_kalofolias_nnk_nogo_report,1,0,0,0,0
it06_tv_focus_kalofolias_nnk_qa_report,1,0,0,0,0
it06_tv_focus_kalofolias_nnk_raw,1,0,0,0,0
it06_tv_focus_kalofolias_nnk_run_metadata,1,1,0,0,0
it06_tv_focus_kalofolias_nnk_significance,1,0,1,0,0
it06_tv_focus_kalofolias_nnk_stats,1,0,0,0,0
it06_tv_focus_kalofolias_nnk_tables,2,0,1,0,0
it06b_kalofolias_nnk_3syn_figures,6,0,0,6,0
it06b_kalofolias_nnk_3syn_integration_log,1,0,0,0,0
it06b_kalofolias_nnk_3syn_qa_report,1,0,0,0,0
it06b_kalofolias_nnk_3syn_raw,1,0,0,0,0
it06b_kalofolias_nnk_3syn_run_metadata,1,1,0,0,0
it06b_kalofolias_nnk_3syn_significance,1,0,1,0,0
it06b_kalofolias_nnk_3syn_stats,1,0,0,0,0
it06b_kalofolias_nnk_3syn_tables,2,0,1,0,0
it07_graph_focus_knn_figures,6,0,0,6,0
it07_graph_focus_knn_nogo_report,1,0,0,0,0
it07_graph_focus_knn_qa_report,1,0,0,0,0
it07_graph_focus_knn_raw,1,0,0,0,0
it07_graph_focus_knn_run_metadata,1,1,0,0,0
it07_graph_focus_knn_significance,1,0,1,0,0
it07_graph_focus_knn_stats,1,0,0,0,0
it07_graph_focus_knn_tables,2,0,1,0,0
it07b_knn_3syn_figures,6,0,0,6,0
it07b_knn_3syn_integration_log,1,0,0,0,0
it07b_knn_3syn_qa_report,1,0,0,0,0
it07b_knn_3syn_raw,1,0,0,0,0
it07b_knn_3syn_run_metadata,1,1,0,0,0
it07b_knn_3syn_significance,1,0,1,0,0
it07b_knn_3syn_stats,1,0,0,0,0
it07b_knn_3syn_tables,2,0,1,0,0
it08_high_missing_synthetic_figures,6,0,0,6,0
it08_high_missing_synthetic_integration_log,1,0,0,0,0
it08_high_missing_synthetic_qa_report,1,0,0,0,0
it08_high_missing_synthetic_raw,1,0,0,0,0
it08_high_missing_synthetic_run_metadata,1,1,0,0,0
it08_high_missing_synthetic_significance,1,0,1,0,0
it08_high_missing_synthetic_stats,1,0,0,0,0
it08_high_missing_synthetic_tables,2,0,1,0,0
it09_tikhonov_rbfi_focus_figures,6,0,0,6,0
it09_tikhonov_rbfi_focus_integration_log,1,0,0,0,0
it09_tikhonov_rbfi_focus_qa_report,1,0,0,0,0
it09_tikhonov_rbfi_focus_raw,1,0,0,0,0
it09_tikhonov_rbfi_focus_run_metadata,1,1,0,0,0
it09_tikhonov_rbfi_focus_significance,1,0,1,0,0
it09_tikhonov_rbfi_focus_stats,1,0,0,0,0
it09_tikhonov_rbfi_focus_tables,2,0,1,0,0
it10_synthetic_alpha_figures,6,0,0,6,0
it10_synthetic_alpha_integration_log,1,0,0,0,0
it10_synthetic_alpha_qa_report,1,0,0,0,0
it10_synthetic_alpha_raw,1,0,0,0,0
it10_synthetic_alpha_run_metadata,1,1,0,0,0
it10_synthetic_alpha_significance,1,0,1,0,0
it10_synthetic_alpha_stats,1,0,0,0,0
it10_synthetic_alpha_tables,2,0,1,0,0
it11_physionet_high_missing_figures,6,0,0,6,0
it11_physionet_high_missing_integration_log,1,0,0,0,0
it11_physionet_high_missing_nogo_report,1,0,0,0,0
it11_physionet_high_missing_qa_report,1,0,0,0,0
it11_physionet_high_missing_raw,1,0,0,0,0
it11_physionet_high_missing_run_metadata,1,1,0,0,0
it11_physionet_high_missing_significance,1,0,1,0,0
it11_physionet_high_missing_stats,1,0,0,0,0
it11_physionet_high_missing_tables,2,0,1,0,0
it12_vknng_knng_3syn_figures,6,0,0,6,0
it12_vknng_knng_3syn_integration_log,1,0,0,0,0
it12_vknng_knng_3syn_qa_report,1,0,0,0,0
it12_vknng_knng_3syn_raw,1,0,0,0,0
it12_vknng_knng_3syn_run_metadata,1,1,0,0,0
it12_vknng_knng_3syn_significance,1,0,1,0,0
it12_vknng_knng_3syn_stats,1,0,0,0,0
it12_vknng_knng_3syn_tables,2,0,1,0,0
it13_gaussian_aew_3syn_figures,6,0,0,6,0
it13_gaussian_aew_3syn_integration_log,1,0,0,0,0
it13_gaussian_aew_3syn_qa_report,1,0,0,0,0
it13_gaussian_aew_3syn_raw,1,0,0,0,0
it13_gaussian_aew_3syn_run_metadata,1,1,0,0,0
it13_gaussian_aew_3syn_significance,1,0,1,0,0
it13_gaussian_aew_3syn_stats,1,0,0,0,0
it13_gaussian_aew_3syn_tables,2,0,1,0,0
it14_low_missing_synthetic_figures,6,0,0,6,0
it14_low_missing_synthetic_integration_log,1,0,0,0,0
it14_low_missing_synthetic_nogo_report,1,0,0,0,0
it14_low_missing_synthetic_qa_report,1,0,0,0,0
it14_low_missing_synthetic_raw,1,0,0,0,0
it14_low_missing_synthetic_run_metadata,1,1,0,0,0
it14_low_missing_synthetic_significance,1,0,1,0,0
it14_low_missing_synthetic_stats,1,0,0,0,0
it14_low_missing_synthetic_tables,2,0,1,0,0
it15_synthetic_broad_gaussian_figures,6,0,0,6,0
it15_synthetic_broad_gaussian_nogo_report,1,0,0,0,0
it15_synthetic_broad_gaussian_qa_report,1,0,0,0,0
it15_synthetic_broad_gaussian_raw,1,0,0,0,0
it15_synthetic_broad_gaussian_run_metadata,1,1,0,0,0
it15_synthetic_broad_gaussian_significance,1,0,1,0,0
it15_synthetic_broad_gaussian_stats,1,0,0,0,0
it15_synthetic_broad_gaussian_tables,2,0,1,0,0
it15b_gaussian_3syn_figures,6,0,0,6,0
it15b_gaussian_3syn_integration_log,1,0,0,0,0
it15b_gaussian_3syn_qa_report,1,0,0,0,0
it15b_gaussian_3syn_raw,1,0,0,0,0
it15b_gaussian_3syn_run_metadata,1,1,0,0,0
it15b_gaussian_3syn_significance,1,0,1,0,0
it15b_gaussian_3syn_stats,1,0,0,0,0
it15b_gaussian_3syn_tables,2,0,1,0,0
it16_synthetic_broad_vknng_figures,6,0,0,6,0
it16_synthetic_broad_vknng_nogo_report,1,0,0,0,0
it16_synthetic_broad_vknng_qa_report,1,0,0,0,0
it16_synthetic_broad_vknng_raw,1,0,0,0,0
it16_synthetic_broad_vknng_run_metadata,1,1,0,0,0
it16_synthetic_broad_vknng_significance,1,0,1,0,0
it16_synthetic_broad_vknng_stats,1,0,0,0,0
it16_synthetic_broad_vknng_tables,2,0,1,0,0
it16b_vknng_3syn_figures,6,0,0,6,0
it16b_vknng_3syn_integration_log,1,0,0,0,0
it16b_vknng_3syn_qa_report,1,0,0,0,0
it16b_vknng_3syn_raw,1,0,0,0,0
it16b_vknng_3syn_run_metadata,1,1,0,0,0
it16b_vknng_3syn_significance,1,0,1,0,0
it16b_vknng_3syn_stats,1,0,0,0,0
it16b_vknng_3syn_tables,2,0,1,0,0
it17_synthetic_broad_all_graphs_figures,6,0,0,6,0
it17_synthetic_broad_all_graphs_integration_log,1,0,0,0,0
it17_synthetic_broad_all_graphs_qa_report,1,0,0,0,0
it17_synthetic_broad_all_graphs_raw,1,0,0,0,0
it17_synthetic_broad_all_graphs_run_metadata,1,1,0,0,0
it17_synthetic_broad_all_graphs_significance,1,0,1,0,0
it17_synthetic_broad_all_graphs_stats,1,0,0,0,0
it17_synthetic_broad_all_graphs_tables,2,0,1,0,0
it18_directed_tv_vs_trss_figures,6,0,0,6,0
it18_directed_tv_vs_trss_integration_log,1,0,0,0,0
it18_directed_tv_vs_trss_qa_report,1,0,0,0,0
it18_directed_tv_vs_trss_raw,1,0,0,0,0
it18_directed_tv_vs_trss_run_metadata,1,1,0,0,0
it18_directed_tv_vs_trss_significance,1,0,1,0,0
it18_directed_tv_vs_trss_stats,1,0,0,0,0
it18_directed_tv_vs_trss_tables,2,0,1,0,0
it19_synthetic_beta_high_missing_figures,6,0,0,6,0
it19_synthetic_beta_high_missing_integration_log,1,0,0,0,0
it19_synthetic_beta_high_missing_qa_report,1,0,0,0,0
it19_synthetic_beta_high_missing_raw,1,0,0,0,0
it19_synthetic_beta_high_missing_run_metadata,1,1,0,0,0
it19_synthetic_beta_high_missing_significance,1,0,1,0,0
it19_synthetic_beta_high_missing_stats,1,0,0,0,0
it19_synthetic_beta_high_missing_tables,2,0,1,0,0
it20_synthetic_alpha_high_missing_figures,6,0,0,6,0
it20_synthetic_alpha_high_missing_integration_log,1,0,0,0,0
it20_synthetic_alpha_high_missing_qa_report,1,0,0,0,0
it20_synthetic_alpha_high_missing_raw,1,0,0,0,0
it20_synthetic_alpha_high_missing_run_metadata,1,1,0,0,0
it20_synthetic_alpha_high_missing_significance,1,0,1,0,0
it20_synthetic_alpha_high_missing_stats,1,0,0,0,0
it20_synthetic_alpha_high_missing_tables,2,0,1,0,0
it21_all_datasets_family_figures,6,0,0,6,0
it21_all_datasets_family_integration_log,1,0,0,0,0
it21_all_datasets_family_qa_report,1,0,0,0,0
it21_all_datasets_family_raw,1,0,0,0,0
it21_all_datasets_family_run_metadata,1,1,0,0,0
it21_all_datasets_family_significance,1,0,1,0,0
it21_all_datasets_family_stats,1,0,0,0,0
it21_all_datasets_family_tables,2,0,1,0,0
it22_synthetic_broad_knn_k3_only_figures,6,0,0,6,0
it22_synthetic_broad_knn_k3_only_nogo_report,1,0,0,0,0
it22_synthetic_broad_knn_k3_only_qa_report,1,0,0,0,0
it22_synthetic_broad_knn_k3_only_raw,1,0,0,0,0
it22_synthetic_broad_knn_k3_only_run_metadata,1,1,0,0,0
it22_synthetic_broad_knn_k3_only_significance,1,0,1,0,0
it22_synthetic_broad_knn_k3_only_stats,1,0,0,0,0
it22_synthetic_broad_knn_k3_only_tables,2,0,1,0,0
it22b_knn_k3_3syn_figures,6,0,0,6,0
it22b_knn_k3_3syn_integration_log,1,0,0,0,0
it22b_knn_k3_3syn_qa_report,1,0,0,0,0
it22b_knn_k3_3syn_raw,1,0,0,0,0
it22b_knn_k3_3syn_run_metadata,1,1,0,0,0
it22b_knn_k3_3syn_significance,1,0,1,0,0
it22b_knn_k3_3syn_stats,1,0,0,0,0
it22b_knn_k3_3syn_tables,2,0,1,0,0
it23_synthetic_broad_knng_only_figures,6,0,0,6,0
it23_synthetic_broad_knng_only_nogo_report,1,0,0,0,0
it23_synthetic_broad_knng_only_qa_report,1,0,0,0,0
it23_synthetic_broad_knng_only_raw,1,0,0,0,0
it23_synthetic_broad_knng_only_run_metadata,1,1,0,0,0
it23_synthetic_broad_knng_only_significance,1,0,1,0,0
it23_synthetic_broad_knng_only_stats,1,0,0,0,0
it23_synthetic_broad_knng_only_tables,2,0,1,0,0
it23b_knng_3syn_figures,6,0,0,6,0
it23b_knng_3syn_integration_log,1,0,0,0,0
it23b_knng_3syn_qa_report,1,0,0,0,0
it23b_knng_3syn_raw,1,0,0,0,0
it23b_knng_3syn_run_metadata,1,1,0,0,0
it23b_knng_3syn_significance,1,0,1,0,0
it23b_knng_3syn_stats,1,0,0,0,0
it23b_knng_3syn_tables,2,0,1,0,0
it24_physionet_all_scenarios_figures,6,0,0,6,0
it24_physionet_all_scenarios_integration_log,1,0,0,0,0
it24_physionet_all_scenarios_qa_report,1,0,0,0,0
it24_physionet_all_scenarios_raw,1,0,0,0,0
it24_physionet_all_scenarios_run_metadata,1,1,0,0,0
it24_physionet_all_scenarios_significance,1,0,1,0,0
