dataset,graph,method,mae_mean,mae_std,snr_mean,snr_std
bci_iv2a_real_s3,aew,bgsrp,51.96266198577646,19.819164163457696,-2.4244296471586138,1.9902821489037328
bci_iv2a_real_s3,aew,ica,0.19005979452320712,0.08791104317306643,7.011950322581711,2.5480928599084374
bci_iv2a_real_s3,aew,idw,0.09431890887027641,0.043248306607858125,13.580809671120168,2.4049700188296246
bci_iv2a_real_s3,aew,linear,0.07438530404600155,0.0361424838115259,15.960255810126553,2.925892927658091
bci_iv2a_real_s3,aew,rbfi_tps,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,aew,sobolev,0.49578356131391044,0.04424448124312925,3.753636173879508,0.8518229134843959
bci_iv2a_real_s3,aew,spherical_spline,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,aew,temporal_laplacian,0.17008460674725992,0.022162713846489046,13.381420720842163,1.4320870747937398
bci_iv2a_real_s3,aew,tikhonov,4.908250987042563e+61,3.799359429801316e+61,-83.2248783710637,28.602610756553762
bci_iv2a_real_s3,aew,trss,0.1933620947415484,0.08881253429587341,6.836004862137659,2.450925103223672
bci_iv2a_real_s3,aew,tv,1.9227970353967854e+59,1.769139198661786e+59,-58.05044019124725,46.317761837107724
bci_iv2a_real_s3,aew,visibility_nnk,0.19269984355329797,0.08848897909060036,6.857331504036129,2.4516028369406118
bci_iv2a_real_s3,epsilon_ball,bgsrp,0.3539202987106769,0.004323440206395027,7.563501842244152,0.13241320024300027
bci_iv2a_real_s3,epsilon_ball,ica,0.19005979452320712,0.08791104317306643,7.011950322581711,2.5480928599084374
bci_iv2a_real_s3,epsilon_ball,idw,0.09431890887027641,0.043248306607858125,13.580809671120168,2.4049700188296246
bci_iv2a_real_s3,epsilon_ball,linear,0.07438530404600155,0.0361424838115259,15.960255810126553,2.925892927658091
bci_iv2a_real_s3,epsilon_ball,rbfi_tps,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,epsilon_ball,sobolev,0.5602238164421236,0.018980115099514208,3.151164466679684,0.3021446813027411
bci_iv2a_real_s3,epsilon_ball,spherical_spline,0.09431890887027641,0.043248306607858125,13.580809671120168,2.404970018829625
bci_iv2a_real_s3,epsilon_ball,temporal_laplacian,0.746349888176485,0.007450615996065094,0.6407789329310726,0.09197523856355905
bci_iv2a_real_s3,epsilon_ball,tikhonov,0.2925279924052259,0.013914099789969504,9.109557917191694,0.4566490634775499
bci_iv2a_real_s3,epsilon_ball,trss,0.07523089522083959,0.036996517760329896,15.782485165148929,2.7609823760800323
bci_iv2a_real_s3,epsilon_ball,tv,0.09429316062811335,0.043269979869788616,13.586740605128913,2.4126827902790473
bci_iv2a_real_s3,epsilon_ball,visibility_nnk,0.19269984355329797,0.08848897909060036,6.857331504036129,2.4516028369406118
bci_iv2a_real_s3,knn__k3,bgsrp,0.3363759409538598,0.00623301297171509,7.9432300039506405,0.31324157876161535
bci_iv2a_real_s3,knn__k3,ica,0.19005979452320712,0.08828276171548916,7.011950322581711,2.5588670849620336
bci_iv2a_real_s3,knn__k3,idw,0.09431890887027641,0.043431175527555474,13.580809671120168,2.4151390706085896
bci_iv2a_real_s3,knn__k3,linear,0.07438530404600155,0.03629530683485766,15.960255810126553,2.9382646231254395
bci_iv2a_real_s3,knn__k3,rbfi_tps,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k3,sobolev,0.551219382370912,0.021503149343968693,3.2828341648641444,0.34624210256084875
bci_iv2a_real_s3,knn__k3,spherical_spline,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k3,temporal_laplacian,0.5859753044448827,0.028208670894087476,2.527379881403655,0.4076748306896934
bci_iv2a_real_s3,knn__k3,tikhonov,0.1783551208639623,0.031846226298289065,11.994951035426615,1.611955987494413
bci_iv2a_real_s3,knn__k3,trss,0.0880927223504751,0.04160146462187062,14.205304838022094,2.5184775755782676
bci_iv2a_real_s3,knn__k3,tv,0.09431799290665085,0.04343818779834424,13.58488111535423,2.4196196040566313
bci_iv2a_real_s3,knn__k3,visibility_nnk,0.19269984355329797,0.08886314134759099,6.857331504036129,2.461969068533985
bci_iv2a_real_s3,knn__k5,bgsrp,0.34876951208228796,0.005127590332874305,7.638751653731859,0.21519409656133776
bci_iv2a_real_s3,knn__k5,ica,0.19005979452320712,0.08828276171548916,7.011950322581711,2.5588670849620336
bci_iv2a_real_s3,knn__k5,idw,0.09431890887027641,0.043431175527555474,13.580809671120168,2.4151390706085896
bci_iv2a_real_s3,knn__k5,linear,0.07438530404600155,0.03629530683485766,15.960255810126553,2.9382646231254395
bci_iv2a_real_s3,knn__k5,rbfi_tps,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k5,sobolev,0.5565952766639201,0.020027946450293824,3.2042974268527127,0.3199778509824036
bci_iv2a_real_s3,knn__k5,spherical_spline,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k5,temporal_laplacian,0.6559979541038026,0.019988631862737312,1.6459353320557275,0.260751115635073
bci_iv2a_real_s3,knn__k5,tikhonov,0.21386123047162917,0.026309624163685597,11.10295266059646,1.1918639976003311
bci_iv2a_real_s3,knn__k5,trss,0.08580850360870122,0.04075855743482884,14.471693462598193,2.540956490334891
bci_iv2a_real_s3,knn__k5,tv,0.09435243311082206,0.04343334504951495,13.57892896696991,2.4171412372708563
bci_iv2a_real_s3,knn__k5,visibility_nnk,0.19269984355329797,0.08886314134759099,6.857331504036129,2.461969068533985
bci_iv2a_real_s3,knn__k7,bgsrp,0.32219741011713415,0.006758538104906642,8.342554993373879,0.24267192376601796
bci_iv2a_real_s3,knn__k7,ica,0.19005979452320712,0.08828276171548916,7.011950322581711,2.5588670849620336
bci_iv2a_real_s3,knn__k7,idw,0.09431890887027641,0.043431175527555474,13.580809671120168,2.4151390706085896
bci_iv2a_real_s3,knn__k7,linear,0.07438530404600155,0.03629530683485766,15.960255810126553,2.9382646231254395
bci_iv2a_real_s3,knn__k7,rbfi_tps,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k7,sobolev,0.5584033308040464,0.019537830166926586,3.177917525972816,0.3114817852469611
bci_iv2a_real_s3,knn__k7,spherical_spline,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k7,temporal_laplacian,0.6912197585322949,0.015244770604885624,1.22826065293939,0.18990246455724388
bci_iv2a_real_s3,knn__k7,tikhonov,0.23571009518084807,0.02274443166473026,10.557327839430835,0.9332328761603299
bci_iv2a_real_s3,knn__k7,trss,0.08127658557073773,0.0391160067788546,15.026195454050553,2.6173903902960474
bci_iv2a_real_s3,knn__k7,tv,0.09432326955989587,0.04343984733813833,13.583172620686781,2.4190130021538963
bci_iv2a_real_s3,knn__k7,visibility_nnk,0.19269984355329797,0.08886314134759099,6.857331504036129,2.461969068533985
bci_iv2a_real_s3,knn__k9,bgsrp,0.34309382954785933,0.005511290612920882,7.718527714376616,0.17495098463433606
bci_iv2a_real_s3,knn__k9,ica,0.19005979452320712,0.08828276171548916,7.011950322581711,2.5588670849620336
bci_iv2a_real_s3,knn__k9,idw,0.09431890887027641,0.043431175527555474,13.580809671120168,2.4151390706085896
bci_iv2a_real_s3,knn__k9,linear,0.07438530404600155,0.03629530683485766,15.960255810126553,2.9382646231254395
bci_iv2a_real_s3,knn__k9,rbfi_tps,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k9,sobolev,0.5592059554040645,0.019316387375586688,3.165906127995108,0.3076976867313915
bci_iv2a_real_s3,knn__k9,spherical_spline,0.09431890887027641,0.043431175527555474,13.580809671120168,2.41513907060859
bci_iv2a_real_s3,knn__k9,temporal_laplacian,0.7109892091217986,0.012538663965834349,1.039308307391285,0.15866363379353926
bci_iv2a_real_s3,knn__k9,tikhonov,0.25254839909427307,0.020046885366566243,10.092913386615724,0.7566888771611027
bci_iv2a_real_s3,knn__k9,trss,0.07985022843933143,0.03854035761075474,15.22661718661845,2.6452316838781362
bci_iv2a_real_s3,knn__k9,tv,0.09432469863202105,0.04343953123938268,13.583111838327028,2.4192039034239667
bci_iv2a_real_s3,knn__k9,visibility_nnk,0.19269984355329797,0.08886314134759099,6.857331504036129,2.461969068533985
bci_iv2a_real_s3,knng,bgsrp,0.33592970102678543,0.011215029079246644,7.966941663751754,0.37034416805816295
bci_iv2a_real_s3,knng,ica,0.19005979452320712,0.08772693607429077,7.011950322581711,2.542756533925761
bci_iv2a_real_s3,knng,idw,0.09431890887027641,0.043157734138585355,13.580809671120168,2.3999334268745334
bci_iv2a_real_s3,knng,linear,0.07438530404600155,0.03606679266287252,15.960255810126553,2.919765396476613
bci_iv2a_real_s3,knng,rbfi_tps,0.09431890887027641,0.043157734138585355,13.580809671120168,2.3999334268745334
bci_iv2a_real_s3,knng,sobolev,0.5543593430524475,0.02078115484674175,3.2369708206384544,0.3325882087835668
bci_iv2a_real_s3,knng,spherical_spline,0.09431890887027641,0.043157734138585355,13.580809671120168,2.3999334268745334
bci_iv2a_real_s3,knng,temporal_laplacian,0.6297920803814656,0.05130826611709587,1.9822389369506073,0.6542653290442972
bci_iv2a_real_s3,knng,tikhonov,0.20157039184510048,0.037422344464583715,11.41254564272013,1.4921636754164023
bci_iv2a_real_s3,knng,trss,0.08581763347009728,0.040621059950868496,14.477124648173234,2.5552662998767652
bci_iv2a_real_s3,knng,tv,0.09432792212100491,0.04316391391959052,13.582965954591288,2.403620813100862
bci_iv2a_real_s3,knng,visibility_nnk,0.19269984355329797,0.0883036616534962,6.857331504036129,2.4464685845262624
bci_iv2a_real_s3,nnk,bgsrp,0.34330118237665663,0.011664203702916107,7.5438490822735655,0.4491035218007905
bci_iv2a_real_s3,nnk,ica,0.19005979452320712,0.08791104317306643,7.011950322581711,2.5480928599084374
bci_iv2a_real_s3,nnk,idw,0.09431890887027641,0.043248306607858125,13.580809671120168,2.4049700188296246
