method,dataset,mae_mean,mae_std,snr_mean,snr_std
bgsrp,bci_iv2a_real_s3,6.415333659545285,17.965272373533477,6.517245948644178,3.3607922043526064
bgsrp,iris_graph_signal,0.45602527682766536,0.0923181431237095,5.366898942730548,1.8309690362573845
bgsrp,mne_sample,2.1928935727138676,7.564455573749912,14.008406896524969,5.386137476830411
bgsrp,physionet_eegmmidb_real,1.4638329193135946,4.76519592324123,9.446687374447235,4.540898925668692
ica,bci_iv2a_real_s3,0.19005979452320712,0.08758692614294644,7.011950322581711,2.5386983599637887
ica,iris_graph_signal,0.2089855786813309,0.07788516143865504,7.372452027327865,2.034695553385446
ica,mne_sample,0.19119869142899265,0.087302828945694,6.894789881960967,2.4227652783613167
ica,physionet_eegmmidb_real,0.19785779305054133,0.09107153763186315,6.939136447123563,2.4679511874728566
idw,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.58080967112017,2.39610319491427
idw,iris_graph_signal,0.18916105757984913,0.0671098724611233,8.853325491593646,1.8085206808531242
idw,mne_sample,0.03892809935155729,0.01854566964259859,21.322817317003352,2.614881593704791
idw,physionet_eegmmidb_real,0.07002003980322018,0.03322381096981939,16.049527408131386,2.573661913772044
linear,bci_iv2a_real_s3,0.07438530404600155,0.03600923099036335,15.960255810126554,2.915105526076532
linear,iris_graph_signal,0.22829009788389767,0.1017552501997628,7.032463467389367,3.2487411534016033
linear,mne_sample,0.049283961883478736,0.023283588459152783,19.341224968767776,2.6505402427451417
linear,physionet_eegmmidb_real,0.10112094386656581,0.04625601589978791,12.784016132070395,2.5687787647302076
rbfi_tps,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.580809671120168,2.3961031949142706
rbfi_tps,iris_graph_signal,3.2770491737431837,3.6913310175772853,-7.71226168441764,14.717640326534605
rbfi_tps,mne_sample,0.03797308713307662,0.01833816176140732,22.484744809381322,2.8974403473348502
rbfi_tps,physionet_eegmmidb_real,0.05790737504921721,0.028814808879441326,17.957186945685095,2.862992688784504
sobolev,bci_iv2a_real_s3,0.5443062974054445,0.032124435030926046,3.342675963699783,0.48168873903233594
sobolev,iris_graph_signal,0.6089363444395657,0.06665083676951111,2.7285277250749314,0.7664271547126109
sobolev,mne_sample,0.48588518499477207,0.030849501646746647,4.290548824666814,0.5906038304649897
sobolev,physionet_eegmmidb_real,0.545055562856079,0.035012524778012,3.518070654260778,0.5563682627321773
spherical_spline,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.580809671120168,2.3961031949142706
spherical_spline,iris_graph_signal,0.18983453856853874,0.06478919111800598,8.688979357422902,1.6730768560693763
spherical_spline,mne_sample,0.04612296398502455,0.02324663879518485,20.991625248982388,3.1488793866284355
spherical_spline,physionet_eegmmidb_real,0.07264225042380713,0.03816738706281147,16.37840410131922,3.299272521620476
temporal_laplacian,bci_iv2a_real_s3,0.5535662450003868,0.171685882637158,3.716745108094338,3.8265891238906113
temporal_laplacian,iris_graph_signal,0.5090403703199371,0.14204335745970495,4.546315825853006,2.466877929502738
temporal_laplacian,mne_sample,0.4964143489993291,0.19357511230162563,5.182367265545324,4.993274326668222
temporal_laplacian,physionet_eegmmidb_real,0.5896045160128431,0.1707069688053467,3.2705067528665315,3.2330421399849856
tikhonov,bci_iv2a_real_s3,5.774412925932427e+60,2.046703189777325e+61,0.22506064596473516,32.06433662043082
tikhonov,iris_graph_signal,0.23239556137297523,0.08546148217683712,9.047027301454026,2.2993886265006807
tikhonov,mne_sample,0.0823915085434371,0.03756020635518531,19.24511381264179,3.0970612899610375
tikhonov,physionet_eegmmidb_real,0.14777517238955976,0.07232842853828565,14.075398851091988,3.1105122625217687
trss,bci_iv2a_real_s3,0.09771092847596087,0.06006293878195134,13.713037701775162,3.6474780354968703
trss,iris_graph_signal,0.19625632156940637,0.08122987618621115,8.147749121395622,2.7713316318533434
trss,mne_sample,0.050561636067248755,0.061783607565545046,21.523536976983237,6.273835754418641
trss,physionet_eegmmidb_real,0.07637903342720423,0.06274751762786945,16.343011430169344,4.603586894942886
tv,bci_iv2a_real_s3,2.2621141592903359e+58,8.658357712982043e+58,5.163128062541737,28.08842563910524
tv,iris_graph_signal,0.17895504758465294,0.06623268825236564,9.50663907194771,2.233469848292319
tv,mne_sample,0.04710156693694915,0.02304249745745531,19.460109232889387,2.811324981997448
tv,physionet_eegmmidb_real,0.08633025272883056,0.04342248478950635,14.248116977264617,2.9316035694049396
visibility_nnk,bci_iv2a_real_s3,0.19269984355329794,0.08816273128297591,6.857331504036129,2.442564083652488
visibility_nnk,iris_graph_signal,0.2417280153954305,0.08085097300424801,5.736208269715775,1.416427145829809
visibility_nnk,mne_sample,0.1937553574923242,0.08800037247078592,6.79716445523736,2.3782298072631445
visibility_nnk,physionet_eegmmidb_real,0.20031134881224322,0.09138703655552105,6.782246908193112,2.3740868414540692
