method,dataset,mae_mean,mae_std,snr_mean,snr_std
idw,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.58080967112017,2.39610319491427
trss,bci_iv2a_real_s3,0.09771092847596087,0.06006293878195134,13.713037701775162,3.6474780354968703
visibility_nnk,bci_iv2a_real_s3,0.19269984355329794,0.08816273128297591,6.857331504036129,2.442564083652488
linear,bci_iv2a_real_s3,0.07438530404600155,0.03600923099036335,15.960255810126554,2.915105526076532
rbfi_tps,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.580809671120168,2.3961031949142706
spherical_spline,bci_iv2a_real_s3,0.09431890887027641,0.04308885550604533,13.580809671120168,2.3961031949142706
ica,bci_iv2a_real_s3,0.19005979452320712,0.08758692614294644,7.011950322581711,2.5386983599637887
tv,iris_graph_signal,0.17895504758465294,0.06623268825236564,9.50663907194771,2.233469848292319
idw,iris_graph_signal,0.18916105757984913,0.0671098724611233,8.853325491593646,1.8085206808531242
trss,iris_graph_signal,0.19625632156940637,0.08122987618621115,8.147749121395622,2.7713316318533434
spherical_spline,iris_graph_signal,0.18983453856853874,0.06478919111800598,8.688979357422902,1.6730768560693763
ica,iris_graph_signal,0.2089855786813309,0.07788516143865504,7.372452027327865,2.034695553385446
linear,iris_graph_signal,0.22829009788389767,0.1017552501997628,7.032463467389367,3.2487411534016033
idw,mne_sample,0.03892809935155729,0.01854566964259859,21.322817317003352,2.614881593704791
tv,mne_sample,0.04710156693694915,0.02304249745745531,19.460109232889387,2.811324981997448
trss,mne_sample,0.050561636067248755,0.061783607565545046,21.523536976983237,6.273835754418641
rbfi_tps,mne_sample,0.03797308713307662,0.01833816176140732,22.484744809381322,2.8974403473348502
spherical_spline,mne_sample,0.04612296398502455,0.02324663879518485,20.991625248982388,3.1488793866284355
linear,mne_sample,0.049283961883478736,0.023283588459152783,19.341224968767776,2.6505402427451417
idw,physionet_eegmmidb_real,0.07002003980322018,0.03322381096981939,16.049527408131386,2.573661913772044
trss,physionet_eegmmidb_real,0.07637903342720423,0.06274751762786945,16.343011430169344,4.603586894942886
tv,physionet_eegmmidb_real,0.08633025272883056,0.04342248478950635,14.248116977264617,2.9316035694049396
rbfi_tps,physionet_eegmmidb_real,0.05790737504921721,0.028814808879441326,17.957186945685095,2.862992688784504
spherical_spline,physionet_eegmmidb_real,0.07264225042380713,0.03816738706281147,16.37840410131922,3.299272521620476
linear,physionet_eegmmidb_real,0.10112094386656581,0.04625601589978791,12.784016132070395,2.5687787647302076
