Dataset,Familia,Combinacion,n_rows,MAE,RMSE,DTW,SNR,LSD,COHERENCE_MEAN
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | ica,120,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | linear,120,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | rbfi_tps,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | spherical_spline,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | ica,120,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | linear,120,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | rbfi_tps,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | spherical_spline,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | ica,120,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | linear,120,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | rbfi_tps,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | spherical_spline,120,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | ica,60,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | linear,60,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | rbfi_tps,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | spherical_spline,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | ica,60,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | linear,60,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | rbfi_tps,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | spherical_spline,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | ica,60,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | linear,60,0.07438530404600155,0.20494544842379964,1.4357256955209856,15.960255810126553,2.2329168580850913,0.9670385694517658
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | rbfi_tps,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | spherical_spline,60,0.09431890887027641,0.24799478697586835,1.7353478362789538,13.580809671120168,2.261804549207683,0.9502819285060004
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k9 | ica,60,0.19005979452320712,0.4714397813328147,2.72503489993399,7.011950322581711,2.412473499154225,0.8754198430886295
